item_name,displayName,category,status,source_png,dest_rel_path,sprite_w,sprite_h,tex_w_note
Weapon_DeathStar,Death Star,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemDeathstar.png,assets/weapons/Weapon_DeathStar.png,340.88,122.94,tex=360x144 ATLAS_SUBRECT rect=341x123 (crop needed)
Weapon_DeathsToll,Death's Toll,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemDeathsToll.png,assets/weapons/Weapon_DeathsToll.png,250.9,192.85,tex=256x200 ATLAS_SUBRECT rect=251x193 (crop needed)
Weapon_Dirk,P38 Dirk,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/UIRatter.png,assets/weapons/Weapon_Dirk.png,320.0,192.0,tex=320x192
Weapon_Dolphin99,Dolphin 99,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemDolphin99.png,assets/weapons/Weapon_Dolphin99.png,737.97,125.88,tex=740x140 ATLAS_SUBRECT rect=738x126 (crop needed)
Weapon_Drifter9,Drifter 9,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/Drifter.png,assets/weapons/Weapon_Drifter9.png,424.0,264.0,tex=424x264
Weapon_Duhar,Duhar,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemDuhar.png,assets/weapons/Weapon_Duhar.png,729.91,298.92,tex=780x320 ATLAS_SUBRECT rect=730x299 (crop needed)
Weapon_Dynamite,Dynamite,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/Dynamite.png,assets/weapons/Weapon_Dynamite.png,82.92,509.85,tex=128x512 ATLAS_SUBRECT rect=83x510 (crop needed)
Weapon_Farsight,Farsight,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemFarsight.png,assets/weapons/Weapon_Farsight.png,174.9,167.93,tex=176x176 ATLAS_SUBRECT rect=175x168 (crop needed)
Weapon_Ferryman,Ferryman,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemFerryman.png,assets/weapons/Weapon_Ferryman.png,396.9,221.95,tex=424x256 ATLAS_SUBRECT rect=397x222 (crop needed)
Weapon_FlickerZip,Flicker Zip,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemFlickerZip.png,assets/weapons/Weapon_FlickerZip.png,75.85,98.88,tex=108x108 ATLAS_SUBRECT rect=76x99 (crop needed)
Weapon_Flock,Flock,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemFlock76.png,assets/weapons/Weapon_Flock.png,272.85,218.85,tex=288x240 ATLAS_SUBRECT rect=273x219 (crop needed)
Weapon_Gravekeeper,Gravekeeper,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/UIHauklandGravekeeper.png,assets/weapons/Weapon_Gravekeeper.png,344.0,176.0,tex=344x176
Weapon_HellnBack,HellnBack,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemHellNBack.png,assets/weapons/Weapon_HellnBack.png,369.85,231.9,tex=424x256 ATLAS_SUBRECT rect=370x232 (crop needed)
Weapon_ImpalaGravita,Impala Gravita,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemImpalaGravita.png,assets/weapons/Weapon_ImpalaGravita.png,510.85,145.85,tex=524x164 ATLAS_SUBRECT rect=511x146 (crop needed)
Weapon_JarOfLove,Jar of love notes,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemJaroflove.png,assets/weapons/Weapon_JarOfLove.png,196.92,321.9,tex=200x328 ATLAS_SUBRECT rect=197x322 (crop needed)
Weapon_Katana,Katana,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/Katana.png,assets/weapons/Weapon_Katana.png,785.95,71.85,tex=816x100 ATLAS_SUBRECT rect=786x72 (crop needed)
Weapon_KleinBauer,Klein Bauer,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemKleinBauer.png,assets/weapons/Weapon_KleinBauer.png,316.93,137.9,tex=340x140 ATLAS_SUBRECT rect=317x138 (crop needed)
Weapon_Knop,Knop .22,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/Knop.png,assets/weapons/Weapon_Knop.png,1804.0,426.9,tex=1804x430 ATLAS_SUBRECT rect=1804x427 (crop needed)
Weapon_LilyOfTheNight,Nightlily,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemNightlily.png,assets/weapons/Weapon_LilyOfTheNight.png,492.9,153.9,tex=512x160 ATLAS_SUBRECT rect=493x154 (crop needed)
Weapon_Longboy,Longboy,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemLongboy.png,assets/weapons/Weapon_Longboy.png,835.85,127.9,tex=860x160 ATLAS_SUBRECT rect=836x128 (crop needed)
Weapon_M11Ramshack,M11A2 Fisk,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemRamshack.png,assets/weapons/Weapon_M11Ramshack.png,428.9,186.95,tex=440x200 ATLAS_SUBRECT rect=429x187 (crop needed)
Weapon_Majordome,Majordome,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemMajordome.png,assets/weapons/Weapon_Majordome.png,251.85,156.9,tex=270x168 ATLAS_SUBRECT rect=252x157 (crop needed)
Weapon_Mario,1884 Mario,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemMario.png,assets/weapons/Weapon_Mario.png,499.85,104.87,tex=512x124 ATLAS_SUBRECT rect=500x105 (crop needed)
Weapon_MolotovCocktail,Molotov Cocktail,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemMolotovCocktail.png,assets/weapons/Weapon_MolotovCocktail.png,160.0,360.0,tex=160x360
Weapon_Mossman,Mossman,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/UIMossman.png,assets/weapons/Weapon_Mossman.png,232.0,92.0,tex=232x92
Weapon_Mowlock,Mowlock,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemMowlock.png,assets/weapons/Weapon_Mowlock.png,314.89,202.87,tex=324x220 ATLAS_SUBRECT rect=315x203 (crop needed)
Weapon_NeuraxisF22,Neuraxis F22,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemNeuraxis.png,assets/weapons/Weapon_NeuraxisF22.png,588.94,238.9,tex=648x256 ATLAS_SUBRECT rect=589x239 (crop needed)
Weapon_Nunchaku,Nunchaku,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/Nunchaku.png,assets/weapons/Weapon_Nunchaku.png,233.85,78.85,tex=280x100 ATLAS_SUBRECT rect=234x79 (crop needed)
Weapon_PalehorseTopclipper,Palehorse Topclipper,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/UIPalehorseTopclipper.png,assets/weapons/Weapon_PalehorseTopclipper.png,412.0,296.0,tex=412x296
Weapon_PierreFusil,M182 Pierre-Fusil,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemPierreFusil.png,assets/weapons/Weapon_PierreFusil.png,640.9,147.95,tex=652x164 ATLAS_SUBRECT rect=641x148 (crop needed)
Weapon_PineappleGrenade,Pineapple Grenade,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/Frag.png,assets/weapons/Weapon_PineappleGrenade.png,300.0,532.0,tex=300x532
Weapon_PloikaC,Ploika Compact,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/UIPloika.png,assets/weapons/Weapon_PloikaC.png,250.9,259.9,tex=320x332 ATLAS_SUBRECT rect=251x260 (crop needed)
Weapon_PoisonGrenade,Jar of Poison,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemPoisonGrenade.png,assets/weapons/Weapon_PoisonGrenade.png,136.0,224.0,tex=136x224
Weapon_ProximityMine,Proximity Mine,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/Weapon_ProximityMine.png,assets/weapons/Weapon_ProximityMine.png,428.87,174.85,tex=448x256 ATLAS_SUBRECT rect=429x175 (crop needed)
Weapon_Rektor,Rektor 100rd,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/rektor.png,assets/weapons/Weapon_Rektor.png,1251.99,463.97,tex=1252x464
Weapon_Rokua,Rokua .308,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/Rokua_1.png,assets/weapons/Weapon_Rokua.png,1170.9,214.87,tex=1216x248 ATLAS_SUBRECT rect=1171x215 (crop needed)
Weapon_Sai,Sai,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/Sai.png,assets/weapons/Weapon_Sai.png,299.85,107.95,tex=320x128 ATLAS_SUBRECT rect=300x108 (crop needed)
Weapon_Salamander,Salamander,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemSalamander.png,assets/weapons/Weapon_Salamander.png,249.88,155.9,tex=272x180 ATLAS_SUBRECT rect=250x156 (crop needed)
Weapon_Snowball,Snowball,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/_Core/Sprites/Items/Consumables/ItemSnowBall.png,assets/weapons/Weapon_Snowball.png,101.85,95.85,tex=109x109 ATLAS_SUBRECT rect=102x96 (crop needed)
Weapon_Snut38,Snut .38,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/snut.png,assets/weapons/Weapon_Snut38.png,263.97,215.93,tex=264x216
Weapon_Socom9,Socom 9,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/UIPistol.png,assets/weapons/Weapon_Socom9.png,168.0,104.0,tex=168x104
Weapon_SocomACR,Socom ACR,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemSocomACR.png,assets/weapons/Weapon_SocomACR.png,374.93,164.87,tex=400x188 ATLAS_SUBRECT rect=375x165 (crop needed)
Weapon_Songbird,Songbird,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemSongbird.png,assets/weapons/Weapon_Songbird.png,270.85,296.9,tex=288x308 ATLAS_SUBRECT rect=271x297 (crop needed)
Weapon_StarAndWitness,Star & Witness,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/StarAndWitness.png,assets/weapons/Weapon_StarAndWitness.png,1024.0,664.0,tex=1024x664
Weapon_StickGrenade,Stick Grenade,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemStickGrenade.png,assets/weapons/Weapon_StickGrenade.png,71.97,360.0,tex=72x360
Weapon_SulfurGrenade,Sulfur Grenade,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemSulfGrenade.png,assets/weapons/Weapon_SulfurGrenade.png,128.0,135.98,tex=128x136
Weapon_TailorMarksman,TailorMarksman,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemTailorMarksman.png,assets/weapons/Weapon_TailorMarksman.png,969.9,259.9,tex=1000x288 ATLAS_SUBRECT rect=970x260 (crop needed)
Weapon_Termite,M3 Termite,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemTermite.png,assets/weapons/Weapon_Termite.png,328.92,130.9,tex=340x144 ATLAS_SUBRECT rect=329x131 (crop needed)
Weapon_TerrierURB,Terrier URB,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemTerrierURB.png,assets/weapons/Weapon_TerrierURB.png,227.95,143.88,tex=240x164 ATLAS_SUBRECT rect=228x144 (crop needed)
Weapon_ThrowingKnives,Throwing Knives,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/Item_ThrowingKnives.png,assets/weapons/Weapon_ThrowingKnives.png,85.85,360.89,tex=192x384 ATLAS_SUBRECT rect=86x361 (crop needed)
Weapon_Typhoon,Type 80 Typhoon,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemTyphoon.png,assets/weapons/Weapon_Typhoon.png,542.93,248.95,tex=564x256 ATLAS_SUBRECT rect=543x249 (crop needed)
Weapon_Unknown,Unknown,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemUnknown.png,assets/weapons/Weapon_Unknown.png,237.95,87.9,tex=256x100 ATLAS_SUBRECT rect=238x88 (crop needed)
Weapon_Valet,Valet,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemValet.png,assets/weapons/Weapon_Valet.png,230.85,137.9,tex=240x156 ATLAS_SUBRECT rect=231x138 (crop needed)
Weapon_Vrede,Vrede,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/UIVrede.png,assets/weapons/Weapon_Vrede.png,640.0,232.0,tex=640x232
Weapon_Wakizashi,Wakizashi,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/UIWakizashi.png,assets/weapons/Weapon_Wakizashi.png,640.0,64.0,tex=640x64
Weapon_Warpig,Warpig,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemWarpig.png,assets/weapons/Weapon_Warpig.png,611.9,212.88,tex=640x228 ATLAS_SUBRECT rect=612x213 (crop needed)
Weapon_Wingman,Wingman,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/itemWingman.png,assets/weapons/Weapon_Wingman.png,545.9,180.85,tex=564x208 ATLAS_SUBRECT rect=546x181 (crop needed)
Weapon_WyattPulsar,Wyatt PULSAR,weapons,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemWyattPulsar.png,assets/weapons/Weapon_WyattPulsar.png,256.0,112.9,tex=256x128 ATLAS_SUBRECT rect=256x113 (crop needed)
Enchantment_Big,Big Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/flask0.png,assets/oils/Enchantment_Big.png,160.9,159.9,tex=168x168 ATLAS_SUBRECT rect=161x160 (crop needed)
Enchantment_Bounce,Bounce Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/flask4.png,assets/oils/Enchantment_Bounce.png,125.95,177.85,tex=144x192 ATLAS_SUBRECT rect=126x178 (crop needed)
Enchantment_Brutality,Grapeseed Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/flask1.png,assets/oils/Enchantment_Brutality.png,103.85,177.85,tex=132x192 ATLAS_SUBRECT rect=104x178 (crop needed)
Enchantment_Duality,Oil of Yin,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/flask3.png,assets/oils/Enchantment_Duality.png,131.95,179.9,tex=144x192 ATLAS_SUBRECT rect=132x180 (crop needed)
Enchantment_Flutter,Rate of Fire Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/flask3.png,assets/oils/Enchantment_Flutter.png,131.95,179.9,tex=144x192 ATLAS_SUBRECT rect=132x180 (crop needed)
Enchantment_Satiety,Translucent Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/flask0.png,assets/oils/Enchantment_Satiety.png,160.9,159.9,tex=168x168 ATLAS_SUBRECT rect=161x160 (crop needed)
Enchantment_Slayer,Crit Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/flask2.png,assets/oils/Enchantment_Slayer.png,103.85,363.9,tex=144x384 ATLAS_SUBRECT rect=104x364 (crop needed)
Enchantment_TestOil,Test oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/flask0.png,assets/oils/Enchantment_TestOil.png,160.9,159.9,tex=168x168 ATLAS_SUBRECT rect=161x160 (crop needed)
Enchantment_TestOil2,Test oil 2,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/flask0.png,assets/oils/Enchantment_TestOil2.png,160.9,159.9,tex=168x168 ATLAS_SUBRECT rect=161x160 (crop needed)
Enchantment_Trinity,Triple Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/flask2.png,assets/oils/Enchantment_Trinity.png,103.85,363.9,tex=144x384 ATLAS_SUBRECT rect=104x364 (crop needed)
Enchantment_ArkanoidOil,Arkanoid Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemArkanoidOil.png,assets/oils/Enchantment_ArkanoidOil.png,109.9,226.95,tex=128x256 ATLAS_SUBRECT rect=110x227 (crop needed)
Enchantment_BanditOil,Bandit Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemBanditOil.png,assets/oils/Enchantment_BanditOil.png,48.9,123.85,tex=56x128 ATLAS_SUBRECT rect=49x124 (crop needed)
Enchantment_CartoonOil,Cartoon Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemCartoonOil.png,assets/oils/Enchantment_CartoonOil.png,96.9,114.95,tex=128x128 ATLAS_SUBRECT rect=97x115 (crop needed)
Enchantment_FleaOil,Flea Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemFleaOil.png,assets/oils/Enchantment_FleaOil.png,111.9,110.95,tex=128x128 ATLAS_SUBRECT rect=112x111 (crop needed)
Enchantment_HoopOil,Hoop Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemHoopOil.png,assets/oils/Enchantment_HoopOil.png,107.9,108.9,tex=128x128 ATLAS_SUBRECT rect=108x109 (crop needed)
Enchantment_ImperfectOil,Imperfect Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemImperfectOil.png,assets/oils/Enchantment_ImperfectOil.png,93.88,104.9,tex=128x128 ATLAS_SUBRECT rect=94x105 (crop needed)
Enchantment_LazyOil,Lazy Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemLazyOil.png,assets/oils/Enchantment_LazyOil.png,113.85,119.9,tex=128x128 ATLAS_SUBRECT rect=114x120 (crop needed)
Enchantment_LongshotOil,Longshot Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemLongshotOil.png,assets/oils/Enchantment_LongshotOil.png,66.9,236.87,tex=128x256 ATLAS_SUBRECT rect=67x237 (crop needed)
Enchantment_PerfectBounceOil,Perfect Bounce Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemPerfectbounceOil.png,assets/oils/Enchantment_PerfectBounceOil.png,69.95,119.9,tex=72x128 ATLAS_SUBRECT rect=70x120 (crop needed)
Enchantment_PoolOil,Pool Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemPoolOil.png,assets/oils/Enchantment_PoolOil.png,85.95,223.95,tex=128x256 ATLAS_SUBRECT rect=86x224 (crop needed)
Enchantment_ReboundOil,Rebound Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemReboundOil.png,assets/oils/Enchantment_ReboundOil.png,99.95,121.95,tex=128x128 ATLAS_SUBRECT rect=100x122 (crop needed)
Enchantment_RicochetOil,RicochetOil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemRicochetOil.png,assets/oils/Enchantment_RicochetOil.png,106.85,126.9,tex=128x128 ATLAS_SUBRECT rect=107x127 (crop needed)
Enchantment_ScrambleOil,Scramble Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemScrambleOil.png,assets/oils/Enchantment_ScrambleOil.png,85.95,119.9,tex=128x128 ATLAS_SUBRECT rect=86x120 (crop needed)
Enchantment_SherlockOil,Sherlock Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemSherlockOil.png,assets/oils/Enchantment_SherlockOil.png,118.85,107.9,tex=128x128 ATLAS_SUBRECT rect=119x108 (crop needed)
Enchantment_SkipOil,Skip Oil,oils,ok,C:/Users/miste/claude_workspace/_sulfur_extract/_unityproject/ExportedProject/Assets/Texture2D/ItemSkipOil.png,assets/oils/Enchantment_SkipOil.png,89.95,120.95,tex=128x128 ATLAS_SUBRECT rect=90x121 (crop needed)
