table,entry_kind,item,weight,drop_pct,table_total_weight,category
BossLoot_DesertClaus_Full,item,Crypt key,6.0,7.5,80.0,Boss
BossLoot_DesertClaus_Full,item,Farsight,4.0,5.0,80.0,Boss
BossLoot_DesertClaus_Full,item,Ferryman,4.0,5.0,80.0,Boss
BossLoot_DesertClaus_Full,item,Gold Chain,2.0,2.5,80.0,Boss
BossLoot_DesertClaus_Full,item,Insurance,3.0,3.75,80.0,Boss
BossLoot_DesertClaus_Full,item,Katana,4.0,5.0,80.0,Boss
BossLoot_DesertClaus_Full,item,Longboy,4.0,5.0,80.0,Boss
BossLoot_DesertClaus_Full,item,M11A2 Fisk,4.0,5.0,80.0,Boss
BossLoot_DesertClaus_Full,item,Majordome,4.0,5.0,80.0,Boss
BossLoot_DesertClaus_Full,item,Nunchaku,4.0,5.0,80.0,Boss
BossLoot_DesertClaus_Full,item,Sai,4.0,5.0,80.0,Boss
BossLoot_DesertClaus_Full,item,Salamander,4.0,5.0,80.0,Boss
BossLoot_DesertClaus_Full,item,Scroll of Dark,1.0,1.25,80.0,Boss
BossLoot_DesertClaus_Full,item,Scroll of Earth,1.0,1.25,80.0,Boss
BossLoot_DesertClaus_Full,item,Scroll of Embers,1.0,1.25,80.0,Boss
BossLoot_DesertClaus_Full,item,Scroll of Frostbite,1.0,1.25,80.0,Boss
BossLoot_DesertClaus_Full,item,Scroll of Light,1.0,1.25,80.0,Boss
BossLoot_DesertClaus_Full,item,Scroll of Nature,1.0,1.25,80.0,Boss
BossLoot_DesertClaus_Full,item,Scroll of Plague,1.0,1.25,80.0,Boss
BossLoot_DesertClaus_Full,item,Scroll of Surge,1.0,1.25,80.0,Boss
BossLoot_DesertClaus_Full,item,Scroll of Water,1.0,1.25,80.0,Boss
BossLoot_DesertClaus_Full,item,Socom 9,4.0,5.0,80.0,Boss
BossLoot_DesertClaus_Full,item,Soul Resin,2.0,2.5,80.0,Boss
BossLoot_DesertClaus_Full,item,Star & Witness,4.0,5.0,80.0,Boss
BossLoot_DesertClaus_Full,item,The Cost,2.0,2.5,80.0,Boss
BossLoot_DesertClaus_Full,item,Type 80 Typhoon,4.0,5.0,80.0,Boss
BossLoot_DesertClaus_Full,item,Valet,4.0,5.0,80.0,Boss
BossLoot_Emperor_Full,item,.357 Balthazar,30.0,6.3158,475.0,Boss
BossLoot_Emperor_Full,item,Augusta,15.0,3.1579,475.0,Boss
BossLoot_Emperor_Full,item,Bo,8.0,1.6842,475.0,Boss
BossLoot_Emperor_Full,item,Catacoil Rapid X,8.0,1.6842,475.0,Boss
BossLoot_Emperor_Full,item,Chamber Chisel (.50 BMG),30.0,6.3158,475.0,Boss
BossLoot_Emperor_Full,item,Chamber Chisel (12ga),30.0,6.3158,475.0,Boss
BossLoot_Emperor_Full,item,Corpsemaker,8.0,1.6842,475.0,Boss
BossLoot_Emperor_Full,item,Crypt key,20.0,4.2105,475.0,Boss
BossLoot_Emperor_Full,item,D4RT,15.0,3.1579,475.0,Boss
BossLoot_Emperor_Full,item,Duhar,8.0,1.6842,475.0,Boss
BossLoot_Emperor_Full,item,Ferryman,8.0,1.6842,475.0,Boss
BossLoot_Emperor_Full,item,Fortress Cookbook,15.0,3.1579,475.0,Boss
BossLoot_Emperor_Full,item,Impala Gravita,15.0,3.1579,475.0,Boss
BossLoot_Emperor_Full,item,Insurance,70.0,14.7368,475.0,Boss
BossLoot_Emperor_Full,item,Katana,8.0,1.6842,475.0,Boss
BossLoot_Emperor_Full,item,M11A2 Fisk,8.0,1.6842,475.0,Boss
BossLoot_Emperor_Full,item,M182 Pierre-Fusil,30.0,6.3158,475.0,Boss
BossLoot_Emperor_Full,item,Nunchaku,8.0,1.6842,475.0,Boss
BossLoot_Emperor_Full,item,Palehorse Topclipper,20.0,4.2105,475.0,Boss
BossLoot_Emperor_Full,item,Rektor 100rd,8.0,1.6842,475.0,Boss
BossLoot_Emperor_Full,item,Rokua .308,10.0,2.1053,475.0,Boss
BossLoot_Emperor_Full,item,Sai,8.0,1.6842,475.0,Boss
BossLoot_Emperor_Full,item,Salamander,40.0,8.4211,475.0,Boss
BossLoot_Emperor_Full,item,Socom 9,15.0,3.1579,475.0,Boss
BossLoot_Emperor_Full,item,Star & Witness,15.0,3.1579,475.0,Boss
BossLoot_Emperor_Full,item,Type 80 Typhoon,10.0,2.1053,475.0,Boss
BossLoot_Emperor_Full,item,Vrede,15.0,3.1579,475.0,Boss
BossLoot_Lucia_Full,item,Black Guild Cooking,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Chamber Chisel (.50 BMG),1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Chamber Chisel (12ga),1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Chamber Chisel (5.56mm),1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Chamber Chisel (7.62mm),1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Chamber Chisel (9mm),1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Crypt key,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Death Star,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Dunce Cap,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Famous Painting,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Insurance,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Pope Hat,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Reflex Sight,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Scroll of Dark,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Scroll of Earth,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Scroll of Embers,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Scroll of Fear,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Scroll of Frostbite,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Scroll of Light,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Scroll of Nature,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Scroll of Plague,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Scroll of Surge,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,Scroll of Water,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,TailorMarksman,1.0,4.0,25.0,Boss
BossLoot_Lucia_Full,item,The Cost,1.0,4.0,25.0,Boss
BossLoot_Terrorbaum_Full,item,.357 Balthazar,40.0,1.8282,2188.0,Boss
BossLoot_Terrorbaum_Full,item,1884 Mario,30.0,1.3711,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Augusta,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Ballistic Helmet,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Beck 8,60.0,2.7422,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Bo,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Camo Jacket,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Catacoil Rapid X,38.0,1.7367,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Combat Boot,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Combat Boot,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Corpsemaker,38.0,1.7367,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Cowboy Boot,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Cowboy Hat,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Cowboy Vest,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Craw Guano,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Crypt key,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,D4RT,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Death Star,60.0,2.7422,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Dolphin 99,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Duhar,38.0,1.7367,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Ferryman,38.0,1.7367,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Flicker Zip,60.0,2.7422,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Flock,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Forest Cookbook,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Ghillie Suit,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Impala Gravita,90.0,4.1133,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Insurance,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,M11A2 Fisk,38.0,1.7367,2188.0,Boss
BossLoot_Terrorbaum_Full,item,M182 Pierre-Fusil,70.0,3.1993,2188.0,Boss
BossLoot_Terrorbaum_Full,item,M3 Termite,70.0,3.1993,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Palehorse Topclipper,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Pith Helmet,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Rektor 100rd,38.0,1.7367,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Rokua .308,70.0,3.1993,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Salamander,70.0,3.1993,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Socom 9,40.0,1.8282,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Star & Witness,40.0,1.8282,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Steel Helmet,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,TailorMarksman,50.0,2.2852,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Type 80 Typhoon,70.0,3.1993,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Unknown,60.0,2.7422,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Vrede,40.0,1.8282,2188.0,Boss
BossLoot_Terrorbaum_Full,item,Wyatt PULSAR,40.0,1.8282,2188.0,Boss
BossLoot_Witch_Full,item,AssWheel,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Catacoil Rapid X,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Corpsemaker,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Dark Lamp,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Detective Pipe,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Dog Whistle,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Dogtags,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Duhar,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Ferryman,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Four-leaf Clover,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,HellnBack,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Instant Defibrilator,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Insurance,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Iron Feather,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Library Card,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Loaded Dice,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Lock Of The Magus,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Longboy,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,M11A2 Fisk,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Metabulator Pump,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Oxygen Tank,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Range Finder,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Rektor 100rd,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Sheriff's Badge,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Wingman,6.0,3.8462,156.0,Boss
BossLoot_Witch_Full,item,Yakety Sax,6.0,3.8462,156.0,Boss
CastleFood,item,,5.0,6.6667,75.0,LooseLoot
CastleFood,item,Blood Pudding,5.0,6.6667,75.0,LooseLoot
CastleFood,item,Chocolate Mudcake,5.0,6.6667,75.0,LooseLoot
CastleFood,item,Christmas Spice,5.0,6.6667,75.0,LooseLoot
CastleFood,item,Coffee,5.0,6.6667,75.0,LooseLoot
CastleFood,item,Liver Patty Sandwich,5.0,6.6667,75.0,LooseLoot
CastleFood,item,Lussekatt,5.0,6.6667,75.0,LooseLoot
CastleFood,item,Mulled Wine,5.0,6.6667,75.0,LooseLoot
CastleFood,item,Porridge,5.0,6.6667,75.0,LooseLoot
CastleFood,item,Puffed Rice Cakes,5.0,6.6667,75.0,LooseLoot
CastleFood,item,Pyttipanna,5.0,6.6667,75.0,LooseLoot
CastleFood,item,Spaghetti Bolognese,5.0,6.6667,75.0,LooseLoot
CastleFood,item,Sugar,5.0,6.6667,75.0,LooseLoot
CastleFood,item,Swedish Pancakes,5.0,6.6667,75.0,LooseLoot
CastleFood,item,Whole Milk,5.0,6.6667,75.0,LooseLoot
Christmas_Clothes,item,Christmas Sock,1.0,16.6667,6.0,Christmas
Christmas_Clothes,item,Christmas Sweater,1.0,16.6667,6.0,Christmas
Christmas_Clothes,item,Christmas Sweater,1.0,16.6667,6.0,Christmas
Christmas_Clothes,item,Rudolf Nose,1.0,16.6667,6.0,Christmas
Christmas_Clothes,item,Santa Hat,1.0,16.6667,6.0,Christmas
Christmas_Clothes,item,Winter Scarf,1.0,16.6667,6.0,Christmas
Christmas_Food,item,Candy Cane,1.0,11.1111,9.0,Christmas
Christmas_Food,item,Gravad Lax,1.0,11.1111,9.0,Christmas
Christmas_Food,item,Jansson's Temptation,1.0,11.1111,9.0,Christmas
Christmas_Food,item,Julmust,1.0,11.1111,9.0,Christmas
Christmas_Food,item,Lutfisk,1.0,11.1111,9.0,Christmas
Christmas_Food,item,Potato Salad,1.0,11.1111,9.0,Christmas
Christmas_Food,item,Ris à la Malta,1.0,11.1111,9.0,Christmas
Christmas_Food,item,Risgrynsgröt,1.0,11.1111,9.0,Christmas
Christmas_Food,item,Silltallrik,1.0,11.1111,9.0,Christmas
Christmas_Weapons,item,Farsight,1.0,20.0,5.0,Christmas
Christmas_Weapons,item,HellnBack,1.0,20.0,5.0,Christmas
Christmas_Weapons,item,Longboy,1.0,20.0,5.0,Christmas
Christmas_Weapons,item,Majordome,1.0,20.0,5.0,Christmas
Christmas_Weapons,item,Valet,1.0,20.0,5.0,Christmas
CousinProjectileAir,item,,140.0,50.0,280.0,Boss
CousinProjectileAir,item,Ammo Box (12ga),30.0,10.7143,280.0,Boss
CousinProjectileAir,item,Ammo Box (5.56mm),10.0,3.5714,280.0,Boss
CousinProjectileAir,item,Ammo Box (50 BMG),5.0,1.7857,280.0,Boss
CousinProjectileAir,item,Ammo Box (9mm),45.0,16.0714,280.0,Boss
CousinProjectileAir,item,Ammo Box (Energy Cells),10.0,3.5714,280.0,Boss
CousinProjectileAir,item,Porridge,20.0,7.1429,280.0,Boss
CousinProjectileAir,item,Pölsa,20.0,7.1429,280.0,Boss
CousinProjectileGround,item,,1000.0,88.4956,1130.0,Boss
CousinProjectileGround,item,Ammo Box (12ga),15.0,1.3274,1130.0,Boss
CousinProjectileGround,item,Ammo Box (5.56mm),5.0,0.4425,1130.0,Boss
CousinProjectileGround,item,Ammo Box (50 BMG),2.0,0.177,1130.0,Boss
CousinProjectileGround,item,Ammo Box (9mm),58.0,5.1327,1130.0,Boss
CousinProjectileGround,item,Ammo Box (Energy Cells),5.0,0.4425,1130.0,Boss
CousinProjectileGround,item,Porridge,20.0,1.7699,1130.0,Boss
CousinProjectileGround,item,Pölsa,25.0,2.2124,1130.0,Boss
CousinProjectileGroundTest,item,Vrede,23.0,100.0,23.0,Boss
CryptRewardLoot_Full_Trinkets,item,AssWheel,6.0,5.8824,102.0,Crypts
CryptRewardLoot_Full_Trinkets,item,Dark Lamp,6.0,5.8824,102.0,Crypts
CryptRewardLoot_Full_Trinkets,item,Detective Pipe,6.0,5.8824,102.0,Crypts
CryptRewardLoot_Full_Trinkets,item,Dog Whistle,6.0,5.8824,102.0,Crypts
CryptRewardLoot_Full_Trinkets,item,Dogtags,6.0,5.8824,102.0,Crypts
CryptRewardLoot_Full_Trinkets,item,Extra Lung,6.0,5.8824,102.0,Crypts
CryptRewardLoot_Full_Trinkets,item,Four-leaf Clover,6.0,5.8824,102.0,Crypts
CryptRewardLoot_Full_Trinkets,item,Instant Defibrilator,6.0,5.8824,102.0,Crypts
CryptRewardLoot_Full_Trinkets,item,Iron Feather,6.0,5.8824,102.0,Crypts
CryptRewardLoot_Full_Trinkets,item,Library Card,6.0,5.8824,102.0,Crypts
CryptRewardLoot_Full_Trinkets,item,Loaded Dice,6.0,5.8824,102.0,Crypts
CryptRewardLoot_Full_Trinkets,item,Lock Of The Magus,6.0,5.8824,102.0,Crypts
CryptRewardLoot_Full_Trinkets,item,Metabulator Pump,6.0,5.8824,102.0,Crypts
CryptRewardLoot_Full_Trinkets,item,Oxygen Tank,6.0,5.8824,102.0,Crypts
CryptRewardLoot_Full_Trinkets,item,Range Finder,6.0,5.8824,102.0,Crypts
CryptRewardLoot_Full_Trinkets,item,Sheriff's Badge,6.0,5.8824,102.0,Crypts
CryptRewardLoot_Full_Trinkets,item,Yakety Sax,6.0,5.8824,102.0,Crypts
CryptThrowableWeapons,item,Dynamite,6.0,33.3333,18.0,Crypts
CryptThrowableWeapons,item,Proximity Mine,6.0,33.3333,18.0,Crypts
CryptThrowableWeapons,item,Sulfur Grenade,6.0,33.3333,18.0,Crypts
LooseLoot_Attachments_ChamberChisels,item,Chamber Chisel (.50 BMG),1.0,20.0,5.0,LooseLoot
LooseLoot_Attachments_ChamberChisels,item,Chamber Chisel (12ga),1.0,20.0,5.0,LooseLoot
LooseLoot_Attachments_ChamberChisels,item,Chamber Chisel (5.56mm),1.0,20.0,5.0,LooseLoot
LooseLoot_Attachments_ChamberChisels,item,Chamber Chisel (7.62mm),1.0,20.0,5.0,LooseLoot
LooseLoot_Attachments_ChamberChisels,item,Chamber Chisel (9mm),1.0,20.0,5.0,LooseLoot
LooseLoot_Caves_Gun12ga,item,1884 Mario,1.0,50.0,2.0,LooseLoot
LooseLoot_Caves_Gun12ga,item,Arbiter 2,1.0,50.0,2.0,LooseLoot
LooseLoot_Caves_Gun9mm,item,Drifter 9,1.0,33.3333,3.0,LooseLoot
LooseLoot_Caves_Gun9mm,item,Knop .22,1.0,33.3333,3.0,LooseLoot
LooseLoot_Caves_Gun9mm,item,Snut .38,1.0,33.3333,3.0,LooseLoot
LooseLoot_CombinedEnchantments,item,Scroll of Aftershock,1.0,8.3333,12.0,LooseLoot
LooseLoot_CombinedEnchantments,item,Scroll of Charm,1.0,8.3333,12.0,LooseLoot
LooseLoot_CombinedEnchantments,item,Scroll of Crusader,1.0,8.3333,12.0,LooseLoot
LooseLoot_CombinedEnchantments,item,Scroll of Explosions,1.0,8.3333,12.0,LooseLoot
LooseLoot_CombinedEnchantments,item,Scroll of Fear,1.0,8.3333,12.0,LooseLoot
LooseLoot_CombinedEnchantments,item,Scroll of Lava,1.0,8.3333,12.0,LooseLoot
LooseLoot_CombinedEnchantments,item,Scroll of Noxiosa,1.0,8.3333,12.0,LooseLoot
LooseLoot_CombinedEnchantments,item,Scroll of Petroleum,1.0,8.3333,12.0,LooseLoot
LooseLoot_CombinedEnchantments,item,Scroll of Poison Blood,1.0,8.3333,12.0,LooseLoot
LooseLoot_CombinedEnchantments,item,Scroll of Rocket Launcher,1.0,8.3333,12.0,LooseLoot
LooseLoot_CombinedEnchantments,item,Scroll of Storm Surge,1.0,8.3333,12.0,LooseLoot
LooseLoot_CombinedEnchantments,item,Scroll of Voodoo,1.0,8.3333,12.0,LooseLoot
LooseLoot_EMPTY_1Slot,item,,1.0,100.0,1.0,LooseLoot
LooseLoot_EMPTY_4Slots,item,,5.0,100.0,5.0,LooseLoot
LooseLoot_Equipment_Anton,item,Round Glasses,1.0,50.0,2.0,LooseLoot
LooseLoot_Equipment_Anton,item,Springcoil Boot,1.0,50.0,2.0,LooseLoot
LooseLoot_Equipment_Bandana,item,Blue Bandana,1.0,50.0,2.0,LooseLoot
LooseLoot_Equipment_Bandana,item,Red Bandana,1.0,50.0,2.0,LooseLoot
LooseLoot_Equipment_Bathrobe,item,Bathrobe,1.0,100.0,1.0,LooseLoot
LooseLoot_Equipment_BlackHoodie,item,Yellow Hoodie,1.0,100.0,1.0,LooseLoot
LooseLoot_Equipment_Breastplate,item,Breastplate,1.0,100.0,1.0,LooseLoot
LooseLoot_Equipment_Cap,item,Cap,1.0,100.0,1.0,LooseLoot
LooseLoot_Equipment_CopBadge,item,Sheriff's Badge,1.0,100.0,1.0,LooseLoot
LooseLoot_Equipment_CopCap,item,Police Hat,1.0,100.0,1.0,LooseLoot
LooseLoot_Equipment_CopSuit,item,Police Uniform,1.0,100.0,1.0,LooseLoot
LooseLoot_Equipment_DivingGoggles,item,Diving Mask,1.0,100.0,1.0,LooseLoot
LooseLoot_Equipment_Felix,item,Admiral White Extra Strong,1.0,6.6667,15.0,LooseLoot
LooseLoot_Equipment_Felix,item,Cappuccino,1.0,6.6667,15.0,LooseLoot
LooseLoot_Equipment_Felix,item,Cheese Sandwich,1.0,6.6667,15.0,LooseLoot
LooseLoot_Equipment_Felix,item,Cheese Tops,1.0,6.6667,15.0,LooseLoot
LooseLoot_Equipment_Felix,item,Cheeseburger,1.0,6.6667,15.0,LooseLoot
LooseLoot_Equipment_Felix,item,Coffee,1.0,6.6667,15.0,LooseLoot
LooseLoot_Equipment_Felix,item,Double Cheeseburger,1.0,6.6667,15.0,LooseLoot
LooseLoot_Equipment_Felix,item,Fondue,1.0,6.6667,15.0,LooseLoot
