name,displayName,unitType,faction,randomizeHealth,base_MaxHealth,Resistance_Fire,Resistance_Frost,Resistance_Electric,Resistance_Poison,Resistance_Explosive,Resistance_Holy,Resistance_Shadow,Resistance_Earth,Resistance_Punish,Resistance_Bleed,Resistance_Petrified,Resistance_Charm,other_base_attributes
CorruptedSpearman,Corrupted Spearman,Melee,Corrupted,0,240,,,,100,,,,,,,,,Stat_MeleeDamage=50;Stat_LungCapacity=10000
CryoSnakes,Cryo Snakes,Ranged,DHell,0,999999,,99,,100,,,,,,,,,
CryptTurtle,Crypt Turtle,None,Congregation,0,1000,,,,,,,,,,,,,Stat_MeleeDamage=40
DeliveryDemon,Courier Demon,None,Congregation,0,100000000000,,,,,,,,,,,,,
FexShuen,Fex Shuen,None,Congregation,0,2000,,,,,,,,,,,,,Stat_MeleeDamage=40
GhostApparition,Apparition,Ghost,Ghosts,0,250,100,100,,100,100,,100,100,100,100,100,100,
GhostPoltergeist,Poltergeist,Ghost,Ghosts,0,250,100,100,,100,100,,100,100,100,100,100,100,
GhostWraith,Wraith,Ghost,Ghosts,0,250,100,100,,100,100,,100,100,100,100,100,100,
CryptCrystal,Crystal,Melee,Player,0,1000,100,100,100,100,100,100,,100,,100,100,100,
GoblinArcher,Archer,Ranged,Goblins,0,130,,,,,,,,,,,,,
GoblinBarrelBoy,Barrel Boy,Melee|Big,Goblins,0,800,,,,,,,,70,,,,,Stat_MeleeDamage=40
GoblinCivilian,Civilian,Melee,Goblins,0,100,,,,,,,,,,,,,Stat_MeleeDamage=15
GoblinCousin,Cousin,Boss,Goblins,0,5000,100,100,100,100,75,75,75,100,,100,100,100,
GoblinCousinArm,Cousin Arm,Boss,Goblins,0,99999,,,,,,,,,,,,,
GoblinCousinArmEndless,Cousin Arm,Boss,Goblins,0,99999,,,,,,,,,,,,,Stat_DetectionDistance=3
GoblinCousinEndless,Cousin (Endless),Boss,Goblins,0,5000,100,100,100,100,75,75,75,100,,100,100,100,
GoblinSpearman,Spearman,Melee,Goblins,0,180,,,,,,,,,,,,,Stat_MeleeDamage=40
GoblinWizardElectricity,Wizard (Electricity),Ranged,Goblins,0,200,,,100,,,,,,,,,,
GoblinWizardFire,Wizard (Fire),Ranged,Goblins,0,200,100,,,,,,,,,,,,
GoblinWizardFrost,Wizard (Frost),Ranged,Goblins,0,200,,100,,,,,,,,,,,
GoblinWizardPoison,Wizard (Poison),Ranged,Goblins,0,200,,,,100,,,,,,,,,
GoblinYoung,Young,Melee,Goblins,0,80,,,,,,,,,,,,,Stat_MeleeDamage=15
TestDummy,Dummy,Melee,Goblins,0,999990,,,,,,,,,,,,,Stat_MeleeDamage=40
GraveDigger,Grave Digger,None,Congregation,0,2000,,,,,,,,,,,,,Stat_MeleeDamage=40
Grocer,Grossberg,None,Congregation,0,1000,,,,,,,,,,,,,Stat_MeleeDamage=40
HaradrianEnforcer,Enforcer,Ranged,Haradrians,0,650,,,,,,,,,,,,,
HaradrianTest,This is a test,Ranged,Player,0,200,,,,,,,,,,,,,
HauklandSalesman,Haukland Salesman,None,Haukland,0,2000,,,,,,,,,,,,,Stat_MeleeDamage=40
HellshrewDesertClause,Desert Clause,Boss,Hellshrews,0,8000,100,100,75,100,75,75,75,100,,100,100,100,Stat_DetectionDistance=3
HellshrewDesertClauseEndless,Desert Clause (Endless),Boss,Hellshrews,0,8000,100,100,75,100,75,75,75,100,,100,100,100,Stat_DetectionDistance=3
HellshrewDesertClausePike,Pike,Boss,Hellshrews,0,400,,100,100,,,,,100,,100,100,100,
HellshrewDigga,Dig Dig,Melee,Hellshrews,0,460,,,,,,,,,,,,,Stat_MeleeDamage=40
HellshrewPike2Seat,Pike,Big,Hellshrews,0,400,,100,100,,,,,100,,100,100,100,
HellshrewPike3Seat,Pike,Big,Hellshrews,0,400,,100,100,,,,,100,,100,100,100,
HellshrewPike4Seat,Pike,Big,Hellshrews,0,400,,100,100,,,,,100,,100,100,100,
HellshrewShoota,Shoota,Melee,Hellshrews,0,400,,,,,,,,,,,,,Stat_MeleeDamage=30
HellshrewSnipa,Snipa,Melee,Hellshrews,0,320,,,,,,,,,,,,,Stat_DetectionDistance=2
HellshrewSticka,Sticka,Melee,Hellshrews,0,400,,,,,,,,,,,,,Stat_MeleeDamage=40
HoodedStranger,HoodedStranger,None,Congregation,0,10000,,,,,,,,,,,,,Stat_MeleeDamage=40
Player,Father,None,Player,0,100,,,,,,,,,,,,,Stat_MovementSpeed=1;Stat_JumpDuration=1;Stat_JumpPower=1;Stat_SprintBonus=1;Stat_SwimSpeed=1;Stat_LuckGain=1;Stat_WeaponWeightPenalty=1;Stat_AimMovingBonus=1;Stat_CrouchSlide=0;Stat_CoyoteTime=0.15;Stat_LungCapacity=10;ExtraDamage_Melee=1;ExtraDamage_Automatic=1;ExtraDamage_AssaultRifle=1;ExtraDamage_Revolver=1;ExtraDamage_Pistol=1;ExtraDamage_Rifle=1;ExtraDamage_Shotgun=1;ExtraDamage_SMG=1;ExtraDamage_Sniper=1;ExtraDamage_LMG=1;Status_WearingGoggles=0
PrepperDefector,Jaques De Fector,None,Congregation,0,1000,,,,,,,,,,,,,Stat_MeleeDamage=40
Qiosk,Qiosk,None,Congregation,0,1000,,,,,,,,,,,,,Stat_MeleeDamage=40
RH_PolseVendor,Vendor,None,BlackGuild,0,1000,,,,,,,,,,,,,Stat_MeleeDamage=40
RH_VendingMachine,Vendor,None,BlackGuild,0,1000,,,,,,,,,,,,,Stat_MeleeDamage=40
RatQueen,Rat Queen,None,Congregation,0,1000,,,,,,,,,,,,,Stat_MeleeDamage=40
ShantyChicken,Chicken,Melee|Ranged|Big,ShantyCiv,0,25,,,,,,,,,,,,,Stat_DetectionDistance=5
ShantyCivilianKid,Kid,Melee,ShantyCiv,0,25,,,,,,,,,,,,,Stat_MeleeDamage=15
ShantyCivilianMan,Man,Melee,ShantyCiv,0,50,,,,,,,,,,,,,Stat_MeleeDamage=15
ShantyCivilianWoman,Woman,Melee,ShantyCiv,0,40,,,,,,,,,,,,,Stat_MeleeDamage=15
ShavwaEmperor,The Emperor,Boss,ShavWa,0,8000,100,100,,,,,,100,,100,100,100,
ShavwaEmperorSpider,Emperor Spider,Boss,ShavWa,0,28000,100,100,100,,,,,100,,100,100,100,
ShavwaEmperorSpiderEndless,Emperor Spider Endless,Boss,ShavWa,0,28000,100,100,100,,,,,100,,100,100,100,
ShavwaEmperorWormEndless,Shavwa Emperor Worm Endless,Boss,ShavWa,0,8000,100,100,,,,,,100,,100,100,100,
ShavwaEmperorWormHead,The Emperor,Boss,ShavWa,0,8000,100,100,,,,,,100,,100,100,100,
ShavwaEmperorWormSection,The Emperor,Boss,ShavWa,0,8000,100,100,,,,,,100,,100,100,100,
ShavwaEmperorWormSectionVulnerable,The Emperor,Boss,ShavWa,0,8000,100,100,,,,,,100,,100,100,100,
ShavwaGrenadier,Grenadier,Ranged,ShavWa,0,400,,,,,,,,,,,,,Stat_MeleeDamage=80
ShavwaLurk,Lurk,Melee|Swimmer,ShavWa,0,300,,,,,,,,,,,,,Stat_MeleeDamage=50;Stat_LungCapacity=10000
ShavwaSamurai,Samurai,Melee,ShavWa,0,400,,,,,,,,,,,,,Stat_MeleeDamage=30
ShavwaTwerker,Twerker,Melee,ShavWa,0,600,,,,,,,,,,,,,Stat_MeleeDamage=80
ShavwaWarden,Warden,Ranged,ShavWa,0,300,,,,,,,,,,,,,
Skrip,Skrip,None,SkripsSkrap,0,2000,,,,,,,,,,,,,Stat_MeleeDamage=40
TargetDummy,Target Dummy,Melee,WitchFaction,0,999999,,,,,,,,,,,,,
TargetDummy_Variant_0,Target Dummy,Melee,WitchFaction,0,999999,,,,,,,,,,,,,
TargetDummy_Variant_1,Target Dummy,Melee,WitchFaction,0,999999,,,,,,,,,,,,,
CrawAbomination,Abomination,Melee,TheCraw,0,1600,,,,,,,,,,,,,
CrawSentinel,Sentinel,Melee,TheCraw,0,600,,,,,,,,,,,,,Stat_MeleeDamage=40
CrawTentacle,Tentacle,Melee,TheCraw,0,1000,,,,,,,,,,,,,
CrawWatcher,Watcher,Melee|Flying,TheCraw,0,10,,,,,,,,100,,,,,Stat_MeleeDamage=20
Terrorbaum,Terrorbaum,Boss,TheCraw,0,19500,100,100,100,100,50,75,75,100,,100,100,100,ExtraDamage_Fire=1.2
TerrorbaumEndless,Terrorbaum (Endless),Boss,TheCraw,0,19500,100,100,100,100,50,75,75,100,,100,100,100,ExtraDamage_Fire=1.2
VideoArthur,Arthur,None,Congregation,0,1000,,,,,,,,,,,,,Stat_MeleeDamage=40
WiseOldWoman,Wise Old Woman,None,Congregation,0,1000,,,,,,,,,,,,,
WiseOldWomanFB1,Wise Old Woman,None,Congregation,0,1000,,,,,,,,,,,,,
WiseOldWomanFB2,Wise Old Woman,None,Congregation,0,1000,,,,,,,,,,,,,
WiseOldWomanFB3,Wise Old Woman,None,Congregation,0,1000,,,,,,,,,,,,,
WitchMainUnit,The Witch,Boss,WitchFaction,0,30000,,,,,,,,,,100,,,
Witch_Endless,Witch (Endless),Boss,WitchFaction,0,15000,100,100,100,100,100,100,100,100,,100,100,100,
Witch_Endless_Illusion,Witch Phase 2,Boss,WitchFaction,0,9999999,,,,,,,,,,,,,
Witch_Phase_1,Witch Phase 1,Boss,WitchFaction,0,9999999,,,,,,,,,,,,,
Witch_Phase_2,Witch Phase 2,Boss,WitchFaction,0,9999999,,,,,,,,,,,,,
Witch_Phase_3,Witch Phase 3,Boss,WitchFaction,0,9999999,,,,,,,,,,,,,
Witch_Phase_4,Witch Phase 4,Boss,WitchFaction,0,9999999,,,,,,,,,,,,,
Witch_Phase_5,Witch Phase 5,Boss,WitchFaction,0,9999999,,,,,,,,,,,,,
Witch_Phase_6,Witch Phase 6,Boss,WitchFaction,0,9999999,,,,,,,,,,,,,
