name,display,category_top,category,verdict,role,useType,recommendation,is_ingredient,is_food,best_dish,best_dish_per_slot,eat_buff,eat_per_slot,quality,basePrice,sellable
Enchantment_Water,Scroll of Water,Enchantments,Enchantments,KEEP-COOK,enchant/oil,Enchantment,ingredient → best dish 'Scroll of Pesticide' @0.0/slot,1,0,Scroll of Pesticide,0.0,,,Epic,1000,1
Item_ClergyCollar,Father's Shirt,Equipment,Equipment/Torso,KEEP-COOK,gear,Equippable,ingredient → best dish 'Molotov Cocktail' @0.0/slot,1,0,Molotov Cocktail,0.0,,,Legendary,1,1
Item_Tunic,Green Tunic,Equipment,Equipment/Torso,KEEP-COOK,gear,Equippable,ingredient → best dish 'Molotov Cocktail' @0.0/slot,1,0,Molotov Cocktail,0.0,,,Common,500,1
Item_PlainWhiteTee,Plain White Tee,Equipment,Equipment/Torso,KEEP-COOK,gear,Equippable,ingredient → best dish 'Molotov Cocktail' @0.0/slot,1,0,Molotov Cocktail,0.0,,,Common,150,1
Item_Shoe,Shoe,Equipment,Equipment/Shoes,KEEP-COOK,gear,Equippable,ingredient → best dish 'Springcoil Boot' @0.0/slot,1,0,Springcoil Boot,0.0,,,Uncommon,380,1
Item_Bark,Bark,Misc,Misc,KEEP-COOK,,None,ingredient → best dish 'Bark bread' @5.0/slot,1,0,Bark bread,5.0,,,Common,100,1
Item_Cloth,Cloth,Misc,Misc,KEEP-COOK,,None,ingredient → best dish 'First Aid Kit' @25.0/slot,1,0,First Aid Kit,25.0,,,Common,20,1
Item_GreenGlob,Green Glob,Misc,Misc,KEEP-COOK,,None,ingredient → best dish 'Anti-Poison Gum' @9600.0/slot,1,0,Anti-Poison Gum,9600.0,,,Common,100,1
Item_MetalScrap,Metal Scrap,Misc,Misc,KEEP-COOK,,None,ingredient → best dish 'Tube Caviar' @15.0/slot,1,0,Tube Caviar,15.0,,,Common,100,1
Item_Paper,Paper,Misc,Misc,KEEP-COOK,,None,ingredient → best dish 'Admiral White Extra Strong' @15.0/slot,1,0,Admiral White Extra Strong,15.0,,,Common,4,1
Item_Rock,Rock,Misc,Misc,KEEP-COOK,,None,ingredient → best dish 'Mashed Potatoes' @15.0/slot,1,0,Mashed Potatoes,15.0,,,Common,10,1
Item_Rubber,Rubber,Misc,Misc,KEEP-COOK,,None,ingredient → best dish 'Anti-Poison Gum' @9600.0/slot,1,0,Anti-Poison Gum,9600.0,,,Common,10,1
Item_Sawdust,Sawdust,Misc,Misc,KEEP-COOK,,None,ingredient → best dish 'Power Bar' @60.0/slot,1,0,Power Bar,60.0,,,Common,10,1
Item_Stick,Stick,Misc,Misc,KEEP-COOK,,None,ingredient → best dish 'Fondue' @25.0/slot,1,0,Fondue,25.0,,,Common,4,1
Item_Bladder,Bladder,Organs,Organs/General,KEEP-COOK,,None,ingredient → best dish 'French Hotdog' @15.0/slot,1,0,French Hotdog,15.0,,,Common,100,1
Item_Bone,Bone,Organs,Organs/General,KEEP-COOK,,None,ingredient → best dish 'Meat Skewers' @10.0/slot,1,0,Meat Skewers,10.0,,,Common,35,1
Item_Brain,Brain,Organs,Organs/General,KEEP-COOK,,None,ingredient → best dish 'French Hotdog' @15.0/slot,1,0,French Hotdog,15.0,,,Common,200,1
Item_CrawFlesh,Craw flesh,Organs,Organs/Craw,KEEP-COOK,,None,ingredient → best dish 'Double Cheeseburger' @200.0/slot,1,0,Double Cheeseburger,200.0,,,Common,40,1
Item_CrawSkin,Craw skin,Organs,Organs/Craw,KEEP-COOK,,None,ingredient → best dish 'Hot Snacks' @15.0/slot,1,0,Hot Snacks,15.0,,,Common,30,1
Item_DogSkin,Dog Skin,Organs,Organs/Dog,KEEP-COOK,,None,ingredient → best dish 'Hot Snacks' @15.0/slot,1,0,Hot Snacks,15.0,,,Common,40,1
Item_DogEye,Dog eye,Organs,Organs/Dog,KEEP-COOK,,None,ingredient → best dish 'Buddy Sandwich' @7.5/slot,1,0,Buddy Sandwich,7.5,,,Common,30,1
Item_DogFlesh,Dog flesh,Organs,Organs/Dog,KEEP-COOK,,None,ingredient → best dish 'Double Cheeseburger' @200.0/slot,1,0,Double Cheeseburger,200.0,,,Common,45,1
Item_GoblinFlesh,Goblin flesh,Organs,Organs/Goblin,KEEP-COOK,,None,ingredient → best dish 'Double Cheeseburger' @200.0/slot,1,0,Double Cheeseburger,200.0,,,Common,50,1
Item_GoblinSkin,Goblin skin,Organs,Organs/Goblin,KEEP-COOK,,None,ingredient → best dish 'Hot Snacks' @15.0/slot,1,0,Hot Snacks,15.0,,,Common,30,1
Item_Heart,Heart,Organs,Organs/General,KEEP-COOK,,None,ingredient → best dish 'Omelette' @11.0/slot,1,0,Omelette,11.0,,,Common,200,1
Item_ShrewFlesh,Hellshrew flesh,Organs,Organs/Shrew,KEEP-COOK,,None,ingredient → best dish 'Double Cheeseburger' @200.0/slot,1,0,Double Cheeseburger,200.0,,,Common,70,1
Item_ShrewSkin,Hellshrew skin,Organs,Organs/Shrew,KEEP-COOK,,None,ingredient → best dish 'Hot Snacks' @15.0/slot,1,0,Hot Snacks,15.0,,,Common,20,1
Item_HumanFlesh,Human flesh,Organs,Organs/Human,KEEP-COOK,,None,ingredient → best dish 'Double Cheeseburger' @200.0/slot,1,0,Double Cheeseburger,200.0,,,Common,60,1
Item_HumanSkin,Human skin,Organs,Organs/Human,KEEP-COOK,,None,ingredient → best dish 'Hot Snacks' @15.0/slot,1,0,Hot Snacks,15.0,,,Common,60,1
Item_Intestines,Intestines,Organs,Organs/General,KEEP-COOK,,None,ingredient → best dish 'French Hotdog' @15.0/slot,1,0,French Hotdog,15.0,,,Common,40,1
Item_Kidney,Kidney,Organs,Organs/General,KEEP-COOK,,None,ingredient → best dish 'Kidney Pie' @17.5/slot,1,0,Kidney Pie,17.5,,,Common,100,1
Item_Liver,Liver,Organs,Organs/General,KEEP-COOK,,None,ingredient → best dish 'Liver Patty Sandwich' @20.0/slot,1,0,Liver Patty Sandwich,20.0,,,Common,80,1
Item_Lung,Lung,Organs,Organs/General,KEEP-COOK,,None,ingredient → best dish 'French Hotdog' @15.0/slot,1,0,French Hotdog,15.0,,,Common,60,1
Item_Pancreas,Pancreas,Organs,Organs/General,KEEP-COOK,,None,ingredient → best dish 'French Hotdog' @15.0/slot,1,0,French Hotdog,15.0,,,Common,110,1
Item_RobotHydraul,Robot hydraul,Organs,Organs/Robot,KEEP-COOK,,None,ingredient → best dish 'Metal Scrap' @0.0/slot,1,0,Metal Scrap,0.0,,,Common,240,1
Item_RobotJoint,Robot joint pneumatic,Organs,Organs/Robot,KEEP-COOK,,None,ingredient → best dish 'Metal Scrap' @0.0/slot,1,0,Metal Scrap,0.0,,,Common,230,1
Item_RobotPlate,Robot plate,Organs,Organs/Robot,KEEP-COOK,,None,ingredient → best dish 'Metal Scrap' @0.0/slot,1,0,Metal Scrap,0.0,,,Common,140,1
Item_RobotSeptacoil,Robot septacoil,Organs,Organs/Robot,KEEP-COOK,,None,ingredient → best dish 'Metal Scrap' @0.0/slot,1,0,Metal Scrap,0.0,,,Common,100,1
Item_RobotSoulCapsule,Robot soul capsule,Organs,Organs/Robot,KEEP-COOK,,None,ingredient → best dish 'Metal Scrap' @0.0/slot,1,0,Metal Scrap,0.0,,,Common,800,1
Item_LizardBladder,Shav'Wa bladder,Organs,Organs/Lizard,KEEP-COOK,,None,ingredient → best dish 'SulfCola' @15.0/slot,1,0,SulfCola,15.0,,,Common,300,1
Item_LizardFlesh,Shav'Wa flesh,Organs,Organs/Lizard,KEEP-COOK,,None,ingredient → best dish 'Double Cheeseburger' @200.0/slot,1,0,Double Cheeseburger,200.0,,,Common,50,1
Item_LizardSkin,Shav'Wa skin,Organs,Organs/Lizard,KEEP-COOK,,None,ingredient → best dish 'Hot Snacks' @15.0/slot,1,0,Hot Snacks,15.0,,,Common,100,1
Item_Spleen,Spleen,Organs,Organs/General,KEEP-COOK,,None,ingredient → best dish 'French Hotdog' @15.0/slot,1,0,French Hotdog,15.0,,,Common,40,1
Item_Thyroid,Thyroid,Organs,Organs/General,KEEP-COOK,,None,ingredient → best dish 'Omelette' @11.0/slot,1,0,Omelette,11.0,,,Common,70,1
Item_Tongue,Tongue,Organs,Organs/General,KEEP-COOK,,None,ingredient → best dish 'Omelette' @11.0/slot,1,0,Omelette,11.0,,,Common,100,1
Weapon_StickGrenade,Stick Grenade,Weapons,Weapons,KEEP-COOK,weapon,Equippable,ingredient → best dish 'Mashed Potatoes' @15.0/slot,1,0,Mashed Potatoes,15.0,,,Common,200,1
Item_Snus,Admiral White Extra Strong,Consumables,Consumables/Other,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_SlowMotion @15.0/slot),1,1,,,Stat_SlowMotion,15.0,Rare,180,1
Item_Americano,Americano,Consumables,Consumables/Drinks,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @15.0/slot),1,1,,,Stat_HealthRegen,15.0,Rare,35,1
Item_PoisonGum,Anti-Poison Gum,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Jar of Poison' (@0.0/slot) or eat (Resistance_Poison @9600.0/slot),1,1,Jar of Poison,0.0,Resistance_Poison,9600.0,Common,150,1
Item_Aspic,Aspic,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @7.5/slot),1,1,,,Stat_HealthRegen,7.5,Common,90,1
Item_Banana,Banana,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Cocktail' (@900.0/slot) or eat (Stat_HealthRegen @5.0/slot),1,1,Cocktail,900.0,Stat_HealthRegen,5.0,Common,30,1
Item_BananaBread,Banana Bread,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @15.0/slot),1,1,,,Stat_HealthRegen,15.0,Common,90,1
Item_BananaSulfs,Banana Sulfs,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Cocktail' (@900.0/slot) or eat (Stat_HealthRegen @20.0/slot),1,1,Cocktail,900.0,Stat_HealthRegen,20.0,Common,20,1
Item_BarkBread,Bark bread,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Peanutbutter Jelly Sandwich' (@35.0/slot) or eat (Stat_HealthRegen @5.0/slot),1,1,Peanutbutter Jelly Sandwich,35.0,Stat_HealthRegen,5.0,Common,35,1
Item_Beans,Beans,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Full English Breakfast' (@17.5/slot) or eat (Stat_HealthRegen @25.0/slot),1,1,Full English Breakfast,17.5,Stat_HealthRegen,25.0,Common,120,1
Item_BeefJerky,Beef Jerky,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Poutine' (@17.5/slot) or eat (Stat_HealthRegen @10.0/slot),1,1,Poutine,17.5,Stat_HealthRegen,10.0,Common,60,1
Item_Berries,Berries,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Cocktail' (@900.0/slot) or eat (Stat_HealthRegen @10.0/slot),1,1,Cocktail,900.0,Stat_HealthRegen,10.0,Common,40,1
Item_Jam,Berry Jam,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Mulled Wine' (@1200.0/slot) or eat (Stat_HealthRegen @15.0/slot),1,1,Mulled Wine,1200.0,Stat_HealthRegen,15.0,Common,90,1
Item_JamUnsweetened,Berry Jam (Unsweetened),Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Peanutbutter Jelly Sandwich' (@35.0/slot) or eat (Stat_HealthRegen @10.0/slot),1,1,Peanutbutter Jelly Sandwich,35.0,Stat_HealthRegen,10.0,Common,50,1
Item_MilkshakeBerries,Berry Milkshake,Consumables,Consumables/Drinks,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @17.5/slot),1,1,,,Stat_HealthRegen,17.5,Common,60,1
Item_BiscuitsAndGravy,Biscuiits and Gravy,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @12.5/slot),1,1,,,Stat_HealthRegen,12.5,Rare,130,1
Item_BlackPepper,Black Pepper,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Omelette' (@11.0/slot) or eat (Stat_HealthRegen @1.0/slot),1,1,Omelette,11.0,Stat_HealthRegen,1.0,Common,30,1
Item_Blood,Blood,Consumables,Consumables/Other,KEEP-COOK/EAT,consumable,Consumable,cook 'Red Wine' (@1200.0/slot) or eat (Stat_HealthRegen @5.0/slot),1,1,Red Wine,1200.0,Stat_HealthRegen,5.0,Common,60,1
Item_BloodPudding,Blood Pudding,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @15.0/slot),1,1,,,Stat_HealthRegen,15.0,Common,90,1
Item_BobaTea,Boba Tea,Consumables,Consumables/Drinks,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @7.5/slot),1,1,,,Stat_HealthRegen,7.5,Common,60,1
Item_CaviarBottle,Bottled Caviar,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Onigiri' (@17.5/slot) or eat (Stat_HealthRegen @25.0/slot),1,1,Onigiri,17.5,Stat_HealthRegen,25.0,Common,120,1
Item_BottledWater,Bottled Water,Consumables,Consumables/Drinks,KEEP-COOK/EAT,consumable,Consumable,cook 'Red Wine' (@1200.0/slot) or eat (Stat_HealthRegen @2.5/slot),1,1,Red Wine,1200.0,Stat_HealthRegen,2.5,Common,40,1
Item_MineralWater,Bottled Water,Consumables,Consumables/Drinks,KEEP-COOK/EAT,consumable,Consumable,cook 'Mashed Potatoes' (@15.0/slot) or eat (Stat_AimMovingBonus @45.0/slot),1,1,Mashed Potatoes,15.0,Stat_AimMovingBonus,45.0,Common,120,1
Item_Bread,Bread,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Double Cheeseburger' (@200.0/slot) or eat (Stat_HealthRegen @7.5/slot),1,1,Double Cheeseburger,200.0,Stat_HealthRegen,7.5,Common,90,1
Item_SandwichBread,Bread Sandwich,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @15.0/slot),1,1,,,Stat_HealthRegen,15.0,Common,80,1
Item_Broth,Broth,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Fondue' (@25.0/slot) or eat (Stat_HealthRegen @5.0/slot),1,1,Fondue,25.0,Stat_HealthRegen,5.0,Common,40,1
Item_SandwichBuddy,Buddy Sandwich,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @7.5/slot),1,1,,,Stat_HealthRegen,7.5,Common,1000,1
Item_Butter,Butter,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Chocolate Mudcake' (@50.0/slot) or eat (Stat_HealthRegen @7.5/slot),1,1,Chocolate Mudcake,50.0,Stat_HealthRegen,7.5,Common,60,1
Item_SandwichButter,Butter Sandwich,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Cheese Sandwich' (@20.0/slot) or eat (Stat_HealthRegen @15.0/slot),1,1,Cheese Sandwich,20.0,Stat_HealthRegen,15.0,Common,60,1
Item_MilkButtermilk,Buttermilk,Consumables,Consumables/Drinks,KEEP-COOK/EAT,consumable,Consumable,cook 'Buttermilk Pancakes' (@15.0/slot) or eat (Stat_AimMovingBonus @7.5/slot),1,1,Buttermilk Pancakes,15.0,Stat_AimMovingBonus,7.5,Common,50,1
Item_ButtermilkPancakes,Buttermilk Pancakes,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @15.0/slot),1,1,,,Stat_HealthRegen,15.0,Common,220,1
Item_Cacao,Cacao,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Power Bar' (@60.0/slot) or eat (Stat_HealthRegen @5.0/slot),1,1,Power Bar,60.0,Stat_HealthRegen,5.0,Common,40,1
Item_Cactus,Cactus,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Cocktail' (@900.0/slot) or eat (Stat_HealthRegen @1.5/slot),1,1,Cocktail,900.0,Stat_HealthRegen,1.5,Common,40,1
Item_CactusDrink,Cactus Softdrink,Consumables,Consumables/Drinks,KEEP-COOK/EAT,consumable,Consumable,cook 'Cocktail' (@900.0/slot) or eat (Stat_HealthRegen @7.5/slot),1,1,Cocktail,900.0,Stat_HealthRegen,7.5,Common,60,1
Item_CandyCane,Candy Cane,Consumables,Consumables/Foodstuffs/Christmas,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @20.0/slot),1,1,,,Stat_HealthRegen,20.0,Common,90,1
Item_Cappuccino,Cappuccino,Consumables,Consumables/Drinks,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @35.0/slot),1,1,,,Stat_HealthRegen,35.0,Rare,35,1
Item_Cereal,Cereal,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @8.75/slot),1,1,,,Stat_HealthRegen,8.75,Common,110,1
Item_Cevapi,Cevapi,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @12.5/slot),1,1,,,Stat_HealthRegen,12.5,Rare,220,1
Item_Cheese,Cheese,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Double Cheeseburger' (@200.0/slot) or eat (Stat_HealthRegen @15.0/slot),1,1,Double Cheeseburger,200.0,Stat_HealthRegen,15.0,Rare,100,1
Item_SandwichCheese,Cheese Sandwich,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @20.0/slot),1,1,,,Stat_HealthRegen,20.0,Common,85,1
Item_CheeseTops,Cheese Tops,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @25.0/slot),1,1,,,Stat_HealthRegen,25.0,Rare,60,1
Item_Cheeseburger,Cheeseburger,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @45.0/slot),1,1,,,Stat_HealthRegen,45.0,Rare,250,1
Item_ChocolateBall,Chocolate Ball,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @20.0/slot),1,1,,,Stat_HealthRegen,20.0,Rare,85,1
Item_ChocolateBar,Chocolate Bar,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Chocolate Mudcake' (@50.0/slot) or eat (Stat_HealthRegen @12.5/slot),1,1,Chocolate Mudcake,50.0,Stat_HealthRegen,12.5,Rare,180,1
Item_MilkshakeChocolate,Chocolate Milkshake,Consumables,Consumables/Drinks,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @17.5/slot),1,1,,,Stat_HealthRegen,17.5,Common,60,1
Item_Mudcake,Chocolate Mudcake,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @50.0/slot),1,1,,,Stat_HealthRegen,50.0,Common,280,1
Item_ChocolateSyrup,Chocolate Syrup,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Cocktail' (@900.0/slot) or eat (Stat_HealthRegen @5.0/slot),1,1,Cocktail,900.0,Stat_HealthRegen,5.0,Common,100,1
Item_ChristmasSpice,Christmas Spice,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Mulled Wine' (@1200.0/slot) or eat (Stat_HealthRegen @1.0/slot),1,1,Mulled Wine,1200.0,Stat_HealthRegen,1.0,Common,10,1
Item_Cocktail,Cocktail,Consumables,Consumables/Drinks,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_Charisma @900.0/slot),1,1,,,Stat_Charisma,900.0,Common,400,1
Item_Coffee,Coffee,Consumables,Consumables/Drinks,KEEP-COOK/EAT,consumable,Consumable,cook 'Cocktail' (@900.0/slot) or eat (Stat_HealthRegen @20.0/slot),1,1,Cocktail,900.0,Stat_HealthRegen,20.0,Rare,35,1
Item_CordonBleu,Cordon Bleu,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @12.5/slot),1,1,,,Stat_HealthRegen,12.5,Rare,350,1
Item_CottonCandy,Cotton Candy,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @10.0/slot),1,1,,,Stat_HealthRegen,10.0,Common,130,1
Item_CuissesDeGrenouille,Cuisses De Grenouille,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @17.5/slot),1,1,,,Stat_HealthRegen,17.5,Common,240,1
Item_Curry,Curry,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @17.5/slot),1,1,,,Stat_HealthRegen,17.5,Common,30,1
Item_Currywurst,Currywurst,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @22.5/slot),1,1,,,Stat_HealthRegen,22.5,Common,225,1
Item_Dimmie,Dimmie,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @20.0/slot),1,1,,,Stat_HealthRegen,20.0,Common,50,1
Item_DoppIGrytan,Dopp I Grytan,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @8.75/slot),1,1,,,Stat_HealthRegen,8.75,Common,130,1
Item_DoubleCheeseburger,Double Cheeseburger,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @200.0/slot),1,1,,,Stat_HealthRegen,200.0,Rare,600,1
Item_LiverDumpling,Dumpling,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @20.0/slot),1,1,,,Stat_HealthRegen,20.0,Common,50,1
Item_Worm,Earthworm,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @5.0/slot),1,1,,,Stat_HealthRegen,5.0,Common,10,1
Item_Egg,Egg,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Egg Toddy' (@7200.0/slot) or eat (Stat_HealthRegen @5.0/slot),1,1,Egg Toddy,7200.0,Stat_HealthRegen,5.0,Common,30,1
Item_EggToddy,Egg Toddy,Consumables,Consumables/Drinks,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_Charisma @7200.0/slot),1,1,,,Stat_Charisma,7200.0,Common,180,1
Item_EnergyGum,Energy Gum,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Resistance_Fire @4500.0/slot),1,1,,,Resistance_Fire,4500.0,Common,80,1
Item_Escargot,Escargot,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook '' (@/slot) or eat (Stat_HealthRegen @15.0/slot),1,1,,,Stat_HealthRegen,15.0,Common,300,1
Item_FalseSulfcap,False Sulfcap,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Mushroom Soup' (@10.0/slot) or eat (NegativeEffect_Poisoned @2.5/slot),1,1,Mushroom Soup,10.0,NegativeEffect_Poisoned,2.5,Common,30,1
Item_FatbergChunk,Fatberg Chunk,Consumables,Consumables/Foodstuffs,KEEP-COOK/EAT,consumable,Consumable,cook 'Unagi' (@50.0/slot) or eat (NegativeEffect_Poisoned @1.25/slot),1,1,Unagi,50.0,NegativeEffect_Poisoned,1.25,Common,50,1
