name,type_name,output_name,output_display,qty_created,craftable,num_inputs,inputs_readable,inputs_raw
Recipe_BananaSulfs 14,cooking,Item_BananaSulfs,Banana Sulfs,3,1,2,Banana x1; Solution x2,336:1;695:2
Recipe_BananaSulfs 15,cooking,Item_BananaSulfs,Banana Sulfs,5,1,2,Banana x2; Solution x2,336:2;695:2
Recipe_BananaSulfs,cooking,Item_BananaSulfs,Banana Sulfs,2,1,2,Banana x1; Sugar x1,336:1;708:1
Recipe_BarkBread 1,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x1; Holy Water x1,342:1;497:1
Recipe_BarkBread 2,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x1; Bottled Water x1,342:1;564:1
Recipe_BarkBread 3,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x1; Slurf x1,342:1;694:1
Recipe_BarkBread 4,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x1; Skimmed Milk x1,342:1;558:1
Recipe_BarkBread 5,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x1; Buttermilk x1,342:1;559:1
Recipe_BarkBread 6,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x1; Low Fat Milk x1,342:1;560:1
Recipe_BarkBread 7,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x1; Whole Milk x1,342:1;561:1
Recipe_BarkBread 8,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x1; Cactus Softdrink x1,342:1;377:1
Recipe_BarkBread 9,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x1; Sports Drink x1,342:1;700:1
Recipe_BarkBread 10,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x1; Kombucha x1,342:1;524:1
Recipe_BarkBread 11,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x2; Bottled Water x1,342:2;368:1
Recipe_BarkBread 12,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x2; Bottled Water x1,342:2;564:1
Recipe_BarkBread 13,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x2; Slurf x1,342:2;694:1
Recipe_BarkBread 14,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x2; Skimmed Milk x1,342:2;558:1
Recipe_BarkBread 15,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x2; Buttermilk x1,342:2;559:1
Recipe_BarkBread 16,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x2; Low Fat Milk x1,342:2;560:1
Recipe_BarkBread 17,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x2; Whole Milk x1,342:2;561:1
Recipe_BarkBread 18,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x2; Cactus Softdrink x1,342:2;377:1
Recipe_BarkBread 19,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x2; Sports Drink x1,342:2;700:1
Recipe_BarkBread 20,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x2; Kombucha x1,342:2;524:1
Recipe_BarkBread 21,cooking,Item_BarkBread,Bark bread,2,1,2,Bark x3; Bottled Water x1,342:3;368:1
Recipe_BarkBread 22,cooking,Item_BarkBread,Bark bread,2,1,2,Bark x3; Bottled Water x1,342:3;564:1
Recipe_BarkBread 23,cooking,Item_BarkBread,Bark bread,2,1,2,Bark x3; Slurf x1,342:3;694:1
Recipe_BarkBread 24,cooking,Item_BarkBread,Bark bread,2,1,2,Bark x3; Skimmed Milk x1,342:3;558:1
Recipe_BarkBread 25,cooking,Item_BarkBread,Bark bread,2,1,2,Bark x3; Buttermilk x1,342:3;559:1
Recipe_BarkBread 26,cooking,Item_BarkBread,Bark bread,2,1,2,Bark x3; Low Fat Milk x1,342:3;560:1
Recipe_BarkBread 27,cooking,Item_BarkBread,Bark bread,2,1,2,Bark x3; Whole Milk x1,342:3;561:1
Recipe_BarkBread 28,cooking,Item_BarkBread,Bark bread,2,1,2,Bark x3; Cactus Softdrink x1,342:3;377:1
Recipe_BarkBread 29,cooking,Item_BarkBread,Bark bread,2,1,2,Bark x3; Sports Drink x1,342:3;700:1
Recipe_BarkBread 30,cooking,Item_BarkBread,Bark bread,2,1,2,Bark x3; Kombucha x1,342:3;524:1
Recipe_BarkBread 31,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x3; Bottled Water x2,342:3;368:2
Recipe_BarkBread 32,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x3; Bottled Water x2,342:3;564:2
Recipe_BarkBread 33,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x3; Slurf x2,342:3;694:2
Recipe_BarkBread 34,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x3; Skimmed Milk x2,342:3;558:2
Recipe_BarkBread 35,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x3; Buttermilk x2,342:3;559:2
Recipe_BarkBread 36,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x3; Low Fat Milk x2,342:3;560:2
Recipe_BarkBread 37,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x3; Whole Milk x2,342:3;561:2
Recipe_BarkBread 38,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x3; Cactus Softdrink x2,342:3;377:2
Recipe_BarkBread 39,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x3; Sports Drink x2,342:3;700:2
Recipe_BarkBread 40,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x3; Kombucha x2,342:3;524:2
Recipe_BarkBread 41,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x4; Bottled Water x2,342:4;368:2
Recipe_BarkBread 42,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x4; Bottled Water x2,342:4;564:2
Recipe_BarkBread 43,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x4; Slurf x2,342:4;694:2
Recipe_BarkBread 44,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x4; Skimmed Milk x2,342:4;558:2
Recipe_BarkBread 45,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x4; Buttermilk x2,342:4;559:2
Recipe_BarkBread 46,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x4; Low Fat Milk x2,342:4;560:2
Recipe_BarkBread 47,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x4; Whole Milk x2,342:4;561:2
Recipe_BarkBread 48,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x4; Cactus Softdrink x2,342:4;377:2
Recipe_BarkBread 49,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x4; Sports Drink x2,342:4;700:2
Recipe_BarkBread 50,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x4; Kombucha x2,342:4;524:2
Recipe_BarkBread 51,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x5; Bottled Water x2,342:5;368:2
Recipe_BarkBread 52,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x5; Bottled Water x2,342:5;564:2
Recipe_BarkBread 53,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x5; Slurf x2,342:5;694:2
Recipe_BarkBread 54,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x5; Skimmed Milk x2,342:5;558:2
Recipe_BarkBread 55,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x5; Buttermilk x2,342:5;559:2
Recipe_BarkBread 56,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x5; Low Fat Milk x2,342:5;560:2
Recipe_BarkBread 57,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x5; Whole Milk x2,342:5;561:2
Recipe_BarkBread 58,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x5; Cactus Softdrink x2,342:5;377:2
Recipe_BarkBread 59,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x5; Sports Drink x2,342:5;700:2
Recipe_BarkBread 60,cooking,Item_BarkBread,Bark bread,3,1,2,Bark x5; Kombucha x2,342:5;524:2
Recipe_BarkBread 61,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x6; Bottled Water x2,342:6;368:2
Recipe_BarkBread 62,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x6; Bottled Water x2,342:6;564:2
Recipe_BarkBread 63,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x6; Slurf x2,342:6;694:2
Recipe_BarkBread 64,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x6; Skimmed Milk x2,342:6;558:2
Recipe_BarkBread 65,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x6; Buttermilk x2,342:6;559:2
Recipe_BarkBread 66,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x6; Low Fat Milk x2,342:6;560:2
Recipe_BarkBread 67,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x6; Whole Milk x2,342:6;561:2
Recipe_BarkBread 68,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x6; Cactus Softdrink x2,342:6;377:2
Recipe_BarkBread 69,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x6; Sports Drink x2,342:6;700:2
Recipe_BarkBread 70,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x6; Kombucha x2,342:6;524:2
Recipe_BarkBread 71,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x7; Bottled Water x2,342:7;368:2
Recipe_BarkBread 72,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x7; Bottled Water x2,342:7;564:2
Recipe_BarkBread 73,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x7; Slurf x2,342:7;694:2
Recipe_BarkBread 74,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x7; Skimmed Milk x2,342:7;558:2
Recipe_BarkBread 75,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x7; Buttermilk x2,342:7;559:2
Recipe_BarkBread 76,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x7; Low Fat Milk x2,342:7;560:2
Recipe_BarkBread 77,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x7; Whole Milk x2,342:7;561:2
Recipe_BarkBread 78,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x7; Cactus Softdrink x2,342:7;377:2
Recipe_BarkBread 79,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x7; Sports Drink x2,342:7;700:2
Recipe_BarkBread 80,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x7; Kombucha x2,342:7;524:2
Recipe_BarkBread 81,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x8; Bottled Water x2,342:8;368:2
Recipe_BarkBread 82,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x8; Bottled Water x2,342:8;564:2
Recipe_BarkBread 83,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x8; Slurf x2,342:8;694:2
Recipe_BarkBread 84,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x8; Skimmed Milk x2,342:8;558:2
Recipe_BarkBread 85,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x8; Buttermilk x2,342:8;559:2
Recipe_BarkBread 86,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x8; Low Fat Milk x2,342:8;560:2
Recipe_BarkBread 87,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x8; Whole Milk x2,342:8;561:2
Recipe_BarkBread 88,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x8; Cactus Softdrink x2,342:8;377:2
Recipe_BarkBread 89,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x8; Kombucha x2,342:8;524:2
Recipe_BarkBread 90,cooking,Item_BarkBread,Bark bread,4,1,2,Bark x8; Sports Drink x2,342:8;700:2
Recipe_BarkBread,cooking,Item_BarkBread,Bark bread,1,1,2,Bark x1; Bottled Water x1,342:1;368:1
Recipe_BeefJerky_1 1,cooking,Item_BeefJerky,Beef Jerky,1,1,1,Human skin x2,505:2
Recipe_BeefJerky_1,cooking,Item_BeefJerky,Beef Jerky,1,1,1,Craw skin x2,416:2
Recipe_BeefJerky_2,cooking,Item_BeefJerky,Beef Jerky,1,1,1,Dog Skin x2,433:2
Recipe_BeefJerky_3,cooking,Item_BeefJerky,Beef Jerky,1,1,1,Goblin skin x2,472:2
Recipe_BeefJerky_4,cooking,Item_BeefJerky,Beef Jerky,1,1,1,Craw skin x2,416:2
Recipe_BeefJerky_5 1,cooking,Item_BeefJerky,Beef Jerky,1,1,2,Craw skin x1; Salt x1,416:1;656:1
Recipe_BeefJerky_5 2,cooking,Item_BeefJerky,Beef Jerky,1,1,2,Dog Skin x1; Salt x1,433:1;656:1
Recipe_BeefJerky_5 3,cooking,Item_BeefJerky,Beef Jerky,1,1,2,Goblin skin x1; Salt x1,472:1;656:1
Recipe_BeefJerky_5 4,cooking,Item_BeefJerky,Beef Jerky,1,1,2,Human skin x1; Salt x1,505:1;656:1
Recipe_BeefJerky_5 5,cooking,Item_BeefJerky,Beef Jerky,1,1,2,Shav'Wa skin x1; Salt x1,538:1;656:1
Recipe_BeefJerky_5 6,cooking,Item_BeefJerky,Beef Jerky,1,1,2,Hellshrew skin x1; Salt x1,684:1;656:1
Recipe_BeefJerky_5 7,cooking,Item_BeefJerky,Beef Jerky,1,1,2,Hellshrew skin x1; Black Pepper x1,684:1;352:1
Recipe_BeefJerky_5 8,cooking,Item_BeefJerky,Beef Jerky,1,1,2,Shav'Wa skin x1; Black Pepper x1,538:1;352:1
Recipe_BeefJerky_5 9,cooking,Item_BeefJerky,Beef Jerky,1,1,2,Human skin x1; Black Pepper x1,505:1;352:1
Recipe_BeefJerky_5 10,cooking,Item_BeefJerky,Beef Jerky,1,1,2,Goblin skin x1; Black Pepper x1,472:1;352:1
Recipe_BeefJerky_5 11,cooking,Item_BeefJerky,Beef Jerky,1,1,2,Dog Skin x1; Black Pepper x1,433:1;352:1
Recipe_BeefJerky_5 12,cooking,Item_BeefJerky,Beef Jerky,1,1,2,Craw skin x1; Black Pepper x1,416:1;352:1
Recipe_BeefJerky_5,cooking,Item_BeefJerky,Beef Jerky,1,1,1,Hellshrew skin x2,684:2
,generic,,,0,0,0,,
Recipe_BiscuitsAndGravy 1,cooking,Item_BiscuitsAndGravy,Biscuiits and Gravy,3,1,2,Bread x2; Gravy x1,370:2;476:1
Recipe_BiscuitsAndGravy 2,cooking,Item_BiscuitsAndGravy,Biscuiits and Gravy,3,1,2,Bread x1; Gravy x2,370:1;476:2
Recipe_BiscuitsAndGravy 3,cooking,Item_BiscuitsAndGravy,Biscuiits and Gravy,4,1,2,Bread x2; Gravy x2,370:2;476:2
Recipe_BiscuitsAndGravy,cooking,Item_BiscuitsAndGravy,Biscuiits and Gravy,2,1,2,Bread x1; Gravy x1,370:1;476:1
Recipe_BloodPudding_1,cooking,Item_BloodPudding,Blood Pudding,2,1,2,Blood x1; Flour x1,357:1;456:1
Recipe_BloodPudding_2,cooking,Item_BloodPudding,Blood Pudding,2,1,2,Blood x1; Sugar x1,357:1;708:1
Recipe_BloodPudding_3,cooking,Item_BloodPudding,Blood Pudding,3,1,3,Blood x1; Sugar x1; Flour x1,357:1;708:1;456:1
Recipe_BobaTea 1,cooking,Item_BobaTea,Boba Tea,2,1,2,Green Tea x2; Rice x1,549:2;631:1
Recipe_BobaTea 2,cooking,Item_BobaTea,Boba Tea,2,1,2,Green Tea x1; Rice x2,549:1;631:2
Recipe_BobaTea 3,cooking,Item_BobaTea,Boba Tea,4,1,2,Green Tea x2; Rice x2,549:2;631:2
Recipe_BobaTea 4,cooking,Item_BobaTea,Boba Tea,5,1,2,Green Tea x3; Rice x2,549:3;631:2
Recipe_BobaTea 5,cooking,Item_BobaTea,Boba Tea,5,1,2,Green Tea x2; Rice x3,549:2;631:3
Recipe_BobaTea 6,cooking,Item_BobaTea,Boba Tea,6,1,2,Green Tea x3; Rice x3,549:3;631:3
Recipe_BobaTea,cooking,Item_BobaTea,Boba Tea,1,1,2,Green Tea x1; Rice x1,549:1;631:1
Recipe_Bolognese_1,cooking,Item_PastaBolognese,Spaghetti Bolognese,1,1,2,Mystery Meat x1; Spaghetti x1,576:1;696:1
Recipe_Bolognese_2 1,cooking,Item_PastaBolognese,Spaghetti Bolognese,1,1,2,Craw flesh x1; Spaghetti x1,415:1;696:1
Recipe_Bolognese_2 2,cooking,Item_PastaBolognese,Spaghetti Bolognese,1,1,2,Dog flesh x1; Spaghetti x1,432:1;696:1
Recipe_Bolognese_2 3,cooking,Item_PastaBolognese,Spaghetti Bolognese,1,1,2,Shav'Wa flesh x1; Spaghetti x1,537:1;696:1
Recipe_Bolognese_2 4,cooking,Item_PastaBolognese,Spaghetti Bolognese,1,1,2,Human flesh x1; Spaghetti x1,504:1;696:1
Recipe_Bolognese_2 6,cooking,Item_PastaBolognese,Spaghetti Bolognese,1,1,2,Hellshrew flesh x1; Spaghetti x1,683:1;696:1
Recipe_Bolognese_2 7,cooking,Item_PastaBolognese,Spaghetti Bolognese,1,1,2,Pölsa x1; Spaghetti x1,606:1;696:1
Recipe_Bolognese_2,cooking,Item_PastaBolognese,Spaghetti Bolognese,1,1,2,Goblin flesh x1; Spaghetti x1,471:1;696:1
Recipe_Bread_1 1,cooking,Item_Bread,Bread,3,1,2,Bottled Water x2; Flour x1,368:2;456:1
Recipe_Bread_1 2,cooking,Item_Bread,Bread,3,1,2,Bottled Water x1; Flour x2,368:1;456:2
Recipe_Bread_1 3,cooking,Item_Bread,Bread,4,1,2,Bottled Water x2; Flour x2,368:2;456:2
Recipe_Bread_1,cooking,Item_Bread,Bread,1,1,2,Bottled Water x1; Flour x1,368:1;456:1
Recipe_Bread_2 1,cooking,Item_Bread,Bread,3,1,2,Whole Milk x2; Flour x1,561:2;456:1
Recipe_Bread_2 2,cooking,Item_Bread,Bread,3,1,2,Whole Milk x1; Flour x2,561:1;456:2
Recipe_Bread_2 3,cooking,Item_Bread,Bread,4,1,2,Whole Milk x2; Flour x2,561:2;456:2
Recipe_Bread_2,cooking,Item_Bread,Bread,1,1,2,Whole Milk x1; Flour x1,561:1;456:1
Recipe_Bread_3 1,cooking,Item_Bread,Bread,3,1,2,Low Fat Milk x2; Flour x1,560:2;456:1
Recipe_Bread_3 2,cooking,Item_Bread,Bread,3,1,2,Low Fat Milk x1; Flour x2,560:1;456:2
Recipe_Bread_3 3,cooking,Item_Bread,Bread,4,1,2,Low Fat Milk x2; Flour x2,560:2;456:2
Recipe_Bread_3,cooking,Item_Bread,Bread,1,1,2,Low Fat Milk x1; Flour x1,560:1;456:1
Recipe_Bread_4 1,cooking,Item_Bread,Bread,3,1,2,Skimmed Milk x2; Flour x1,558:2;456:1
Recipe_Bread_4 2,cooking,Item_Bread,Bread,3,1,2,Skimmed Milk x1; Flour x2,558:1;456:2
Recipe_Bread_4 3,cooking,Item_Bread,Bread,4,1,2,Skimmed Milk x2; Flour x2,558:2;456:2
Recipe_Bread_4,cooking,Item_Bread,Bread,1,1,2,Skimmed Milk x1; Flour x1,558:1;456:1
Recipe_Bread_5 1,cooking,Item_Bread,Bread,3,1,2,Buttermilk x2; Flour x1,559:2;456:1
Recipe_Bread_5 2,cooking,Item_Bread,Bread,3,1,2,Buttermilk x1; Flour x2,559:1;456:2
Recipe_Bread_5 3,cooking,Item_Bread,Bread,4,1,2,Buttermilk x2; Flour x2,559:2;456:2
Recipe_Bread_5,cooking,Item_Bread,Bread,1,1,2,Buttermilk x1; Flour x1,559:1;456:1
Recipe_BreadBanana_1 1,cooking,Item_BananaBread,Banana Bread,2,1,2,Bread x1; Banana x2,370:1;336:2
Recipe_BreadBanana_1 2,cooking,Item_BananaBread,Banana Bread,4,1,2,Bread x2; Banana x2,370:2;336:2
Recipe_BreadBanana_1 3,cooking,Item_BananaBread,Banana Bread,2,1,2,Bread x2; Banana x1,370:2;336:1
Recipe_BreadBanana_1,cooking,Item_BananaBread,Banana Bread,1,1,2,Bread x1; Banana x1,370:1;336:1
Recipe_Broth_1,cooking,Item_Broth,Broth,1,1,2,Kidney Stone x1; Bottled Water x1,521:1;368:1
Recipe_Broth_2,cooking,Item_Broth,Broth,1,1,2,Salt x1; Bottled Water x1,656:1;368:1
Recipe_Broth_3,cooking,Item_Broth,Broth,1,1,2,Bone x1; Bottled Water x1,363:1;368:1
Recipe_BuddySandwich,cooking,Item_SandwichBuddy,Buddy Sandwich,1,1,2,Bread x1; Dog eye x4,370:1;431:4
Recipe_BuddySandwich_1,cooking,Item_Broth,Broth,1,1,2,<id924> x1; Bottled Water x1,924:1;368:1
Recipe_Butter_1,cooking,Item_Butter,Butter,1,1,1,Whole Milk x2,561:2
Recipe_Butter_2,cooking,Item_Butter,Butter,3,1,1,Fatberg Chunk x2,448:2
Recipe_ButterMilk_1 1,cooking,Item_MilkButtermilk,Buttermilk,3,1,2,Butter x1; Whole Milk x1,373:1;561:1
Recipe_ButterMilk_1 2,cooking,Item_MilkButtermilk,Buttermilk,3,1,2,Butter x1; Low Fat Milk x1,373:1;560:1
Recipe_ButterMilk_1,cooking,Item_MilkButtermilk,Buttermilk,3,1,2,Butter x1; Skimmed Milk x1,373:1;558:1
Recipe_ButterMilkPancakes 1,cooking,Item_ButtermilkPancakes,Buttermilk Pancakes,5,1,5,Butter x1; Buttermilk x1; Egg x1; Flour x1; Salt x1,373:1;559:1;440:1;456:1;656:1
