name,category,id,displayName,description,flavor,itemQuality,itemQuality_name,slotType,slotType_name,itemTags,itemTags_name,useType,useType_name,weightClass,weightClass_name,basePrice,sellable,stackSize,inventorySize,maxDurability,appliesEnchantment,modifiesCaliber,modifiersOnEquip,modifiersOnInventory,baseAttributes
Attachment_HauklandFlashHider,Attachments,17,Haukland Flash Hider,,A muzzle device designed to lower the recoil and spread of guns. Compatible with most barrels.,2,Rare,0,None,0,None,2,Attachment,0,Knife,480,1,0,1x1,1000,0,0,,,
Attachment_HolographicSight,Attachments,18,Holographic Sight,Magnification: None,A compact collimator sight with an illuminated reticle for quicker target acquisition. Fits standard rails.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,230,1,0,1x1,1000,0,0,,,
Attachment_HuntingScope,Attachments,19,Hunting Scope,Magnification: 8x,"A firearm optic with an 8x zoom factor, designed for use by hunters.",2,Rare,0,None,0,None,2,Attachment,0,Knife,550,1,0,2x1,1000,0,0,,,
Attachment_ImprovisedBarrelExtension,Attachments,20,Improvised Barrel Extension,,A makeshift muzzle device that can reduce spread and recoil somewhat. Fits most barrels.,0,Common,0,None,0,None,2,Attachment,0,Knife,300,1,0,2x1,1000,0,0,,,
Attachment_Insurance,Attachments,21,Insurance,,Attach to an item to get it back when you die. Single use,4,Legendary,0,None,0,None,2,Attachment,0,Knife,10000,1,0,1x1,1000,0,0,,,
Attachment_LaserSightBone,Attachments,995,Laser Sight,,A tactical device with a built in laser module allowing for more accurate hip fire. Compatible with most guns. This one emits yellow light.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,500,1,0,1x1,1000,0,0,,,
Attachment_LaserSightDenimBlue,Attachments,996,Laser Sight,,A tactical device with a built in laser module allowing for more accurate hip fire. Compatible with most guns. This one emits yellow light.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,500,1,0,1x1,1000,0,0,,,
Attachment_LaserSightGold,Attachments,1006,Laser Sight,,A tactical device with a built in laser module allowing for more accurate hip fire. Compatible with most guns. This one emits yellow light.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,10000,1,0,1x1,1000,0,0,,,
Attachment_LaserSightGreen,Attachments,22,Laser Sight,,A tactical device with a built in laser module allowing for more accurate hip fire. Compatible with most guns. This one emits green light.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,280,1,0,1x1,1000,0,0,,,
Attachment_LaserSightLightBlue,Attachments,997,Laser Sight,,A tactical device with a built in laser module allowing for more accurate hip fire. Compatible with most guns. This one emits yellow light.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,500,1,0,1x1,1000,0,0,,,
Attachment_LaserSightLime,Attachments,998,Laser Sight,,A tactical device with a built in laser module allowing for more accurate hip fire. Compatible with most guns. This one emits yellow light.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,500,1,0,1x1,1000,0,0,,,
Attachment_LaserSightMagenta,Attachments,999,Laser Sight,,A tactical device with a built in laser module allowing for more accurate hip fire. Compatible with most guns. This one emits yellow light.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,500,1,0,1x1,1000,0,0,,,
Attachment_LaserSightOrange,Attachments,1000,Laser Sight,,A tactical device with a built in laser module allowing for more accurate hip fire. Compatible with most guns. This one emits yellow light.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,500,1,0,1x1,1000,0,0,,,
Attachment_LaserSightPoop,Attachments,1005,Laser Sight,,A tactical device with a built in laser module allowing for more accurate hip fire. Compatible with most guns. This one emits yellow light.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,500,1,0,1x1,1000,0,0,,,
Attachment_LaserSightPurple,Attachments,1001,Laser Sight,,A tactical device with a built in laser module allowing for more accurate hip fire. Compatible with most guns. This one emits yellow light.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,500,1,0,1x1,1000,0,0,,,
Attachment_LaserSightRed,Attachments,23,Laser Sight,,A tactical device with a built in laser module allowing for more accurate hip fire. Compatible with most guns. This one emits red light.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,280,1,0,1x1,1000,0,0,,,
Attachment_LaserSightRosePink,Attachments,1002,Laser Sight,,A tactical device with a built in laser module allowing for more accurate hip fire. Compatible with most guns. This one emits yellow light.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,500,1,0,1x1,1000,0,0,,,
Attachment_LaserSightTangerine,Attachments,1003,Laser Sight,,A tactical device with a built in laser module allowing for more accurate hip fire. Compatible with most guns. This one emits yellow light.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,500,1,0,1x1,1000,0,0,,,
Attachment_LaserSightTeal,Attachments,1004,Laser Sight,,A tactical device with a built in laser module allowing for more accurate hip fire. Compatible with most guns. This one emits yellow light.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,500,1,0,1x1,1000,0,0,,,
Attachment_LaserSightYellow,Attachments,24,Laser Sight,,A tactical device with a built in laser module allowing for more accurate hip fire. Compatible with most guns. This one emits yellow light.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,500,1,0,1x1,1000,0,0,,,
Attachment_PrimingBolt,Attachments,25,Priming Bolt,Increases the damage and reduces the spread of an automatic gun at the cost of turning it semi automatic.,"This mechanical device is constructed to provide extra force to the primer ignition of a firearm, increasing bullet velocity and reducing tumbling at the cost of forcing it to fire in semi automatic.",1,Uncommon,0,None,0,None,2,Attachment,0,Knife,680,1,0,2x1,1000,0,0,,,
Attachment_ReconScope,Attachments,26,Recon Scope,Magnification: 6x,"A long range rifle optic with an 12x zoom factor, designed for use by snipers.",2,Rare,0,None,0,None,2,Attachment,0,Knife,280,1,0,2x1,1000,0,0,,,
Attachment_ReflexSight,Attachments,27,Reflex Sight,Magnification: None,An open red dot sight with that aids in target acquisition. Compatible with most guns.,1,Uncommon,0,None,0,None,2,Attachment,0,Knife,320,1,0,1x1,1000,0,0,,,
Attachment_ShroudedBarrelExtension,Attachments,28,Shrouded Barrel Extension,,A muzzle device designed to lower the recoil and spread of guns. Compatible with most barrels.,2,Rare,0,None,0,None,2,Attachment,0,Knife,480,1,0,2x1,1000,0,0,,,
Attachment_SniperScope,Attachments,29,Sniper Scope,Magnification: 12x,"A long range means of communication with a \n12x zoom factor, designed for use by snipers \nto deliver words of encouragement and love.",2,Rare,0,None,0,None,2,Attachment,0,Knife,700,1,0,2x1,1000,0,0,,,
Attachment_Suppressor556,Attachments,30,Haukland Silencer,,A muzzle device designed to lower the sound signature of a firearm. Made by the Haukland Company.,2,Rare,0,None,0,None,2,Attachment,0,Knife,890,1,0,2x1,1000,0,0,,,
Attachment_Suppressor762,Attachments,31,Aftermarket Haukland Silencer,,A muzzle device designed to lower the sound signature of a firearm. Produced as a response to the Haukland Company discontinuing their production line of silencers.,2,Rare,0,None,0,None,2,Attachment,0,Knife,740,1,0,2x1,1000,0,0,,,
Attachment_Suppressor9mm,Attachments,32,SR-P3 Silencer,,A muzzle device designed to lower the sound signature of a firearm. Made only in small amounts to be used by radio operators during the night raids of the first robot war.,2,Rare,0,None,0,None,2,Attachment,0,Knife,580,1,0,2x1,1000,0,0,,,
Attachment_SuppressorCan,Attachments,33,"M87 ""Albatross"" Silencer",,An improvised sound suppressor fashioned from a tin can.,2,Rare,0,None,0,None,2,Attachment,0,Knife,550,1,0,2x1,1000,0,0,,,
Attachment_WarmageCompensator,Attachments,34,Warmage Compensator,,A muzzle device designed to lower the recoil and spread of guns. Compatible with most barrels.,2,Rare,0,None,0,None,2,Attachment,0,Knife,480,1,0,1x1,1000,0,0,,,
Item_Americano,Consumables/Drinks,328,Americano,,"Watered down normal coffee, for those who can't handle it.",2,Rare,0,None,0,None,0,Consumable,0,Knife,35,1,0,1x1,1000,0,0,,,
Item_BobaTea,Consumables/Drinks,361,Boba Tea,,A stilldrink made with cactus and cane sugar.,0,Common,0,None,0,None,0,Consumable,0,Knife,60,1,0,1x2,1000,0,0,,,
Item_BottledWater,Consumables/Drinks,368,Bottled Water,,A 0.5L PET Bottle of water. It's half empty.,0,Common,0,None,0,None,0,Consumable,0,Knife,40,1,0,1x2,1000,0,0,,,
Item_CactusDrink,Consumables/Drinks,377,Cactus Softdrink,,A stilldrink made with cactus and cane sugar.,0,Common,0,None,0,None,0,Consumable,0,Knife,60,1,0,1x2,1000,0,0,,,
Item_Cappuccino,Consumables/Drinks,384,Cappuccino,,"A fluffy kind of latte with flulffed up milk. Comes with a candy on the side, if you're not full.",2,Rare,0,None,0,None,0,Consumable,0,Knife,35,1,0,1x1,1000,0,0,,,
Item_Cocktail,Consumables/Drinks,1016,Cocktail,,"Try hard liquid courage. For those who want to look like they can pay more, but want to pay less.",0,Common,0,None,0,None,0,Consumable,0,Knife,400,1,0,2x2,1000,0,0,,,
Item_Coffee,Consumables/Drinks,406,Coffee,,Very aromatic.,2,Rare,0,None,0,None,0,Consumable,0,Knife,35,1,0,1x1,1000,0,0,,,
Item_EggToddy,Consumables/Drinks,441,Egg Toddy,,A spirited drink with a savory bitterness. ,0,Common,0,None,0,None,0,Consumable,0,Knife,180,1,0,1x1,1000,0,0,,,
Item_Gonster,Consumables/Drinks,474,Gonster,,"""Are you ok, babe? You''ve hardly touched your gonster.""",0,Common,0,None,0,None,0,Consumable,0,Knife,40,1,0,1x2,1000,0,0,,,
Item_HealthPotion,Consumables/Drinks,487,Health Potion,,A restorative potion of sacred herbs and electrolytes. Colored red with food dye.,0,Common,0,None,0,None,0,Consumable,0,Knife,60,1,0,1x1,1000,0,0,,,
Item_HerbalTea,Consumables/Drinks,491,Herbal Tea,,A hydrating sweet drink with a soothing bitterness. ,0,Common,0,None,0,None,0,Consumable,0,Knife,70,1,0,1x1,1000,0,0,,,
Item_HolyWater,Consumables/Drinks,497,Holy Water,,Water containing holy properties.,4,Legendary,0,None,0,None,0,Consumable,0,Knife,500,1,0,1x1,1000,0,0,,,
Item_Kombucha,Consumables/Drinks,524,Kombucha,,A drink made from symbiotic fermentation of sugared tea in symbiotic culture of bacteria and yeast. ,0,Common,0,None,0,None,0,Consumable,0,Knife,60,1,0,1x1,1000,0,0,,,
Item_Latte,Consumables/Drinks,525,Latte,,"Milk and coffee sitting in a tree, D-R-I-N-K-M-E.",2,Rare,0,None,0,None,0,Consumable,0,Knife,35,1,0,1x1,1000,0,0,,,
Item_Lemonade,Consumables/Drinks,527,Lemonade,,A hydrating sweet drink with a soothing bitterness. ,0,Common,0,None,0,None,0,Consumable,0,Knife,60,1,0,1x1,1000,0,0,,,
Item_Liquor,Consumables/Drinks,532,Liquor,,"40% distilled alcohol. Harms your health, makes you feel different.",0,Common,0,None,0,None,0,Consumable,0,Knife,60,1,0,1x2,1000,0,0,,,
Item_MatchaTeaCup,Consumables/Drinks,549,Green Tea,,Drinking this will make you feel confident wielding a sword.,0,Common,0,None,0,None,0,Consumable,0,Knife,80,1,0,1x1,1000,0,0,,,
Item_MilkBlue,Consumables/Drinks,558,Skimmed Milk,,A daily treat of governmentally funded propaganda. \n\nNow with even less fat! ,0,Common,0,None,0,None,0,Consumable,0,Knife,40,1,0,1x2,1000,0,0,,,
Item_MilkButtermilk,Consumables/Drinks,559,Buttermilk,,"A product from the leftovers of cheese production.\n\nGreat for baking, according to some cultures. ",0,Common,0,None,0,None,0,Consumable,0,Knife,50,1,0,1x2,1000,0,0,,,
Item_MilkGreen,Consumables/Drinks,560,Low Fat Milk,,A daily treat of governmentally funded propaganda. \n\nNow with less fat!,0,Common,0,None,0,None,0,Consumable,0,Knife,40,1,0,1x2,1000,0,0,,,
Item_MilkRed,Consumables/Drinks,561,Whole Milk,Great for baking and cooking.,A daily treat of governmentally funded propaganda.,0,Common,0,None,0,None,0,Consumable,0,Knife,40,1,0,1x2,1000,0,0,,,
Item_MilkshakeBerries,Consumables/Drinks,562,Berry Milkshake,,,0,Common,0,None,0,None,0,Consumable,0,Knife,60,1,0,1x2,1000,0,0,,,
Item_MilkshakeChocolate,Consumables/Drinks,563,Chocolate Milkshake,,A sweet beverage made of smoothly blended milk and ice cream. This one is chocolate flavored.,0,Common,0,None,0,None,0,Consumable,0,Knife,60,1,0,1x2,1000,0,0,,,
Item_MineralWater,Consumables/Drinks,564,Bottled Water,,A 0.5L PET Bottle containing pure spring water with trace amounts of essential minerals. It's half empty.,0,Common,0,None,0,None,0,Consumable,0,Knife,120,1,0,1x2,1000,0,0,,,
Item_MulledWine,Consumables/Drinks,569,Mulled Wine,,Prefered drink of santas everywhere.,0,Common,0,None,0,None,0,Consumable,0,Knife,200,1,0,1x1,1000,0,0,,,
Item_Pilk,Consumables/Drinks,990,Pilk,Great drink,A daily treat of governmentally funded propaganda.,0,Common,0,None,0,None,0,Consumable,0,Knife,400,1,0,1x2,1000,0,0,,,
Item_Soda,Consumables/Drinks,694,Slurf,,"A sweet, carbonated beverage in an aluminium can. Lime flavor.",0,Common,0,None,0,None,0,Consumable,0,Knife,30,1,0,1x1,1000,0,0,,,
Item_SportsDrink,Consumables/Drinks,700,Sports Drink,,"A 0.5L PET Bottle of finest sports drink filled to the brim with electrolytes, caffeine and essential minerals. ",0,Common,0,None,0,None,0,Consumable,0,Knife,120,1,0,1x2,1000,0,0,,,
Item_Stout,Consumables/Drinks,706,Stout,,"A very rich dark beer, that leaves a mustasch.",0,Common,0,None,0,None,0,Consumable,0,Knife,40,1,0,1x2,1000,0,0,,,
Item_SulfCola,Consumables/Drinks,989,SulfCola,,Beverage,0,Common,0,None,0,None,0,Consumable,0,Knife,300,1,0,1x2,1000,0,0,,,
Item_Wine,Consumables/Drinks,743,Red Wine,,,0,Common,0,None,0,None,0,Consumable,0,Knife,200,1,0,1x2,1000,0,0,,,
Item_Aspic,Consumables/Foodstuffs,330,Aspic,,"A nine for presentation, a four for taste, and a one for nutrition.",0,Common,0,None,0,None,0,Consumable,0,Knife,90,1,0,2x1,1000,0,0,,,
Item_Banana,Consumables/Foodstuffs,336,Banana,,"An elongated, edible fruit. Botanically a berry. Produced by several kinds of large herbaceous flowering plants in the genus Musa.",0,Common,0,None,0,None,0,Consumable,0,Knife,30,1,0,2x1,1000,0,0,,,
Item_BananaBread,Consumables/Foodstuffs,337,Banana Bread,,"A loaf of freshly baked bread made of yeast, flour and water.",0,Common,0,None,0,None,0,Consumable,0,Knife,90,1,0,2x1,1000,0,0,,,
Item_BananaSulfs,Consumables/Foodstuffs,339,Banana Sulfs,,The bacon of the banana candy world.,0,Common,0,None,0,None,0,Consumable,0,Knife,20,1,0,1x1,1000,0,0,,,
Item_BarkBread,Consumables/Foodstuffs,343,Bark bread,,A loaf of bread made from bark instead of flour. Filling but not very nourishing. ,0,Common,0,None,0,None,0,Consumable,0,Knife,35,1,0,2x1,1000,0,0,,,
Item_Beans,Consumables/Foodstuffs,346,Beans,,"The mummies of food, made to be conserved in prepper basements everywhere for eons, or until the world ends.",0,Common,0,None,0,None,0,Consumable,0,Knife,120,1,0,1x1,1000,0,0,,,
Item_BeefJerky,Consumables/Foodstuffs,347,Beef Jerky,,"Dried and seasoned protein, most commonly from mammal origin. Responsible for creating truck drivers all over the world.",0,Common,0,None,0,None,0,Consumable,0,Knife,60,1,0,1x1,1000,0,0,,,
Item_Berries,Consumables/Foodstuffs,350,Berries,,Sweet and sour colorful tiny fruits.,0,Common,0,None,0,None,0,Consumable,0,Knife,40,1,0,1x1,1000,0,0,,,
Item_BiscuitsAndGravy,Consumables/Foodstuffs,351,Biscuiits and Gravy,,White gravy with sausge squeezed tight between two loafs of bread. Exquisite.,2,Rare,0,None,0,None,0,Consumable,0,Knife,130,1,0,2x1,1000,0,0,,,
Item_BlackPepper,Consumables/Foodstuffs,352,Black Pepper,,"The black gold of millenia. Great to mix with liquid for broths, making food tastier.",0,Common,0,None,0,None,0,Consumable,0,Knife,30,1,0,1x1,1000,0,0,,,
Item_BloodPudding,Consumables/Foodstuffs,359,Blood Pudding,,"Fried, crispy, but juicy on the inside. Ejoyed by cattle farming humans in cold biomes. Simply referred to as ""Blodpudding""",0,Common,0,None,0,None,0,Consumable,0,Knife,90,1,0,2x1,1000,0,0,,,
Item_Bread,Consumables/Foodstuffs,370,Bread,,"A loaf of freshly baked bread made of yeast, flour and water.",0,Common,0,None,0,None,0,Consumable,0,Knife,90,1,0,2x1,1000,0,0,,,
Item_Broth,Consumables/Foodstuffs,372,Broth,,"A healthy, warm and soothing broth. Salty.",0,Common,0,None,0,None,0,Consumable,0,Knife,40,1,0,2x1,1000,0,0,,,
Item_Butter,Consumables/Foodstuffs,373,Butter,,Cow's milk that has been churned into thick butter.,0,Common,0,None,0,None,0,Consumable,0,Knife,60,1,0,2x1,1000,0,0,,,
Item_ButtermilkPancakes,Consumables/Foodstuffs,374,Buttermilk Pancakes,,"\""Buttermilk pancakes, don't make me wait for it\r\nButtermilk pancake, I'm coming for you\r\""",0,Common,0,None,0,None,0,Consumable,0,Knife,220,1,0,2x1,1000,0,0,,,
Item_Cacao,Consumables/Foodstuffs,375,Cacao,,"This bitter powder is not very tasty on its own, but great for baking and sweet treats.",0,Common,0,None,0,None,0,Consumable,0,Knife,40,1,0,1x1,1000,0,0,,,
Item_Cactus,Consumables/Foodstuffs,376,Cactus,,The word cactus derives from an ancient word for spiny a plant whose identity is now not certain.,0,Common,0,None,0,None,0,Consumable,0,Knife,40,1,0,2x1,1000,0,0,,,
Item_CactusGrilled,Consumables/Foodstuffs,378,Grilled Cactus,,"Smokey, juicy, sweet.\n\nThe word cactus derives from an ancient word for spiny a plant whose identity is not certain",0,Common,0,None,0,None,0,Consumable,0,Knife,80,1,0,2x1,1000,0,0,,,
Item_CactusSweets,Consumables/Foodstuffs,379,Lackerol Cactus,,Sweet pastilles that lack any resemblence to real-life natural flavors.\n\n,0,Common,0,None,0,None,0,Consumable,0,Knife,30,1,0,1x1,1000,0,0,,,
Item_CaviarBottle,Consumables/Foodstuffs,385,Bottled Caviar,,"Food consisting of salt-cured roe, also known as fish eggs.",0,Common,0,None,0,None,0,Consumable,0,Knife,120,1,0,1x1,1000,0,0,,,
Item_CaviarTubed,Consumables/Foodstuffs,386,Tube Caviar,,"Savory, intense, Fishy. Love it or hate it.",0,Common,0,None,0,None,0,Consumable,0,Knife,240,1,0,2x1,1000,0,0,,,
Item_Cereal,Consumables/Foodstuffs,388,Cereal,,The crunch is so satisfying.,0,Common,0,None,0,None,0,Consumable,0,Knife,110,1,0,2x2,1000,0,0,,,
Item_Cevapi,Consumables/Foodstuffs,389,Cevapi,,Small meat turds put inside a bread cut like a Pac-Man. Onions on the side.,2,Rare,0,None,0,None,0,Consumable,0,Knife,220,1,0,2x1,1000,0,0,,,
Item_Cheese,Consumables/Foodstuffs,390,Cheese,,Very tasty on its own. Or with bread. Smelly humans love it.,2,Rare,0,None,0,None,0,Consumable,0,Knife,100,1,0,1x1,1000,0,0,,,
Item_CheeseTops,Consumables/Foodstuffs,392,Cheese Tops,,Hot and cheesy.,2,Rare,0,None,0,None,0,Consumable,0,Knife,60,1,0,1x1,1000,0,0,,,
Item_Cheeseburger,Consumables/Foodstuffs,391,Cheeseburger,,"A sandwich consisting of fillings, usually a patty of ground meat, typically from animals, placed inside a sliced bun or bread roll",2,Rare,0,None,0,None,0,Consumable,0,Knife,250,1,0,1x1,1000,0,0,,,
Item_ChickenLeg,Consumables/Foodstuffs,394,Chicken Leg,,"Must be cooked before eaten, or you might contract salmonella or helicobacter pylori. \n\n\""Taste like frog legs!\""",2,Rare,0,None,0,None,4,None,0,Knife,60,1,0,1x1,1000,0,0,,,
Item_ChickenNashvilleHot,Consumables/Foodstuffs,395,Nashville Hot Chicken,,"Cayenne, fried and hot. Looks really good! Should try it sometime!",2,Rare,0,None,0,None,0,Consumable,0,Knife,220,1,0,1x1,1000,0,0,,,
Item_ChocolateBall,Consumables/Foodstuffs,396,Chocolate Ball,,,2,Rare,0,None,0,None,0,Consumable,0,Knife,85,1,0,1x1,1000,0,0,,,
Item_ChocolateBar,Consumables/Foodstuffs,397,Chocolate Bar,,Mmm... Delicious!,2,Rare,0,None,0,None,0,Consumable,0,Knife,180,1,0,2x1,1000,0,0,,,
Item_ChocolateSyrup,Consumables/Foodstuffs,398,Chocolate Syrup,,"A thick, sugary, chocolate liquid. ",0,Common,0,None,0,None,0,Consumable,0,Knife,100,1,0,1x2,1000,0,0,,,
Item_ChristmasSpice,Consumables/Foodstuffs,400,Christmas Spice,,Powdered christmas spirit used for making things jolly.,0,Common,0,None,0,None,0,Consumable,0,Knife,10,1,0,1x1,1000,0,0,,,
Item_CordonBleu,Consumables/Foodstuffs,408,Cordon Bleu,,"Cayenne, fried and hot. Looks really good! Should try it sometime!",2,Rare,0,None,0,None,0,Consumable,0,Knife,350,1,0,2x1,1000,0,0,,,
Item_CottonCandy,Consumables/Foodstuffs,409,Cotton Candy,,Sugar with sugar that processed to be fluffy. \n\nLike one-dimensional firework for the senses. ,0,Common,0,None,0,None,0,Consumable,0,Knife,130,1,0,1x2,1000,0,0,,,
Item_CuissesDeGrenouille,Consumables/Foodstuffs,419,Cuisses De Grenouille,,"Famous dish, also known as frog legs. ",0,Common,0,None,0,None,0,Consumable,0,Knife,240,1,0,2x1,1000,0,0,,,
Item_Curry,Consumables/Foodstuffs,421,Curry,,A foul smelling slop of Corpseflower Oats and Goblin Milk.,0,Common,0,None,0,None,0,Consumable,0,Knife,30,1,0,2x1,1000,0,0,,,
Item_Currywurst,Consumables/Foodstuffs,422,Currywurst,,"Say auf Wiedersehen to your hunger with this sausage, fries and curry ketchup combo.",0,Common,0,None,0,None,0,Consumable,0,Knife,225,1,0,2x1,1000,0,0,,,
Item_Dimmie,Consumables/Foodstuffs,427,Dimmie,,"A single dimmie, not enough to share with your mate.",0,Common,0,None,0,None,0,Consumable,0,Knife,50,1,0,1x1,1000,0,0,,,
Item_DoppIGrytan,Consumables/Foodstuffs,436,Dopp I Grytan,,Bread soaked in whatever was left when you cooked ham. What a concept.,0,Common,0,None,0,None,0,Consumable,0,Knife,130,1,0,2x2,1000,0,0,,,
Item_DoubleCheeseburger,Consumables/Foodstuffs,437,Double Cheeseburger,,"A sandwich consisting of fillings, usually a patty of ground meat, typically from animals, placed inside a sliced bun or bread roll",2,Rare,0,None,0,None,0,Consumable,0,Knife,600,1,0,1x1,1000,0,0,,,
Item_Egg,Consumables/Foodstuffs,440,Egg,,An uncooked egg. Could be eaten raw or used in cooking.,0,Common,0,None,0,None,0,Consumable,0,Knife,30,1,0,1x1,1000,0,0,,,
Item_EnergyGum,Consumables/Foodstuffs,443,Energy Gum,,,0,Common,0,None,0,None,0,Consumable,0,Knife,80,1,0,1x1,1000,0,0,,,
Item_Escargot,Consumables/Foodstuffs,444,Escargot,,"Boiled snails, usually with herbs and garlic. Technically mollusks and therefore classified as seafood.\n\nFamous dish, also known as simply \""eating snails\"". ",0,Common,0,None,0,None,0,Consumable,0,Knife,300,1,0,2x1,1000,0,0,,,
Item_FalseSulfcap,Consumables/Foodstuffs,447,False Sulfcap,,"This mushroom emits a feint glow and reeks of sulfsap. Easily mistaken for the Sulfcap, it carries a potent poison.",0,Common,0,None,0,None,0,Consumable,0,Knife,30,1,0,1x2,1000,0,0,,,
Item_FatbergChunk,Consumables/Foodstuffs,448,Fatberg Chunk,,A rock-like mass of waste formed in sewers by the combination of non-biodegradable solids and fat.\n\nEating not adviced. ,0,Common,0,None,0,None,0,Consumable,0,Knife,50,1,0,2x2,1000,0,0,,,
Item_Fish,Consumables/Foodstuffs,452,Fish,,An uncooked of fish. May be cooked or eaten raw if prepared correctly.,0,Common,0,None,0,None,0,Consumable,0,Knife,40,1,0,1x1,1000,0,0,,,
Item_FishNChips,Consumables/Foodstuffs,454,Fish and chips,,"Deep growing root, featuring animal from the deep. Both deep fried. That's deep man.",0,Common,0,None,0,None,0,Consumable,0,Knife,250,1,0,2x1,1000,0,0,,,
